CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
THBA,Bangkok,THB Calendar,2,192,2022-01-03,,
,,,,,2022-02-16,,
,,,,,2022-04-06,,
,,,,,2022-04-13,,
,,,,,2022-04-14,,
,,,,,2022-04-15,,
,,,,,2022-05-02,,
,,,,,2022-05-04,,
,,,,,2022-05-16,,
,,,,,2022-06-03,,
,,,,,2022-07-13,,
,,,,,2022-07-28,,
,,,,,2022-07-29,,
,,,,,2022-08-12,,
,,,,,2022-10-13,,
,,,,,2022-10-14,,
,,,,,2022-10-24,,
,,,,,2022-12-05,,
,,,,,2022-12-12,,
,,,,,2023-01-02,,
,,,,,2023-03-06,,
,,,,,2023-04-06,,
,,,,,2023-04-13,,
,,,,,2023-04-14,,
,,,,,2023-04-15,,
,,,,,2023-05-01,,
,,,,,2023-05-04,,
,,,,,2023-05-08,,
,,,,,2023-06-05,,
,,,,,2023-07-28,,
,,,,,2023-08-01,,
,,,,,2023-08-14,,
,,,,,2023-10-13,,
,,,,,2023-10-23,,
,,,,,2023-12-05,,
,,,,,2023-12-11,,
,,,,,2024-01-01,,
,,,,,2025-01-01,,
,,,,,2026-01-01,,
