CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
IDJA,Jakarta,IDR Calendar,2,192,2022-02-01,,
,,,,,2022-02-28,,
,,,,,2022-03-03,,
,,,,,2022-04-15,,
,,,,,2022-04-29,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-04,,
,,,,,2022-05-05,,
,,,,,2022-05-06,,
,,,,,2022-05-16,,
,,,,,2022-05-26,,
,,,,,2022-06-01,,
,,,,,2022-08-17,,
,,,,,2023-01-01,,
,,,,,2023-01-22,,
,,,,,2023-02-18,,
,,,,,2023-03-22,,
,,,,,2023-04-07,,
,,,,,2023-04-22,,
,,,,,2023-04-23,,
,,,,,2023-05-01,,
,,,,,2023-05-18,,
,,,,,2023-06-01,,
,,,,,2023-06-03,,
,,,,,2023-06-29,,
,,,,,2023-07-19,,
,,,,,2023-08-17,,
,,,,,2023-09-27,,
,,,,,2023-12-25,,
,,,,,2024-01-01,,
,,,,,2025-01-01,,
,,,,,2026-01-01,,
,,,,,2026-06-01,,
,,,,,2026-08-17,,
