CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
OMMU,Omman,OMR Calendar,2,192,2022-03-01,,
,,,,,2022-05-01,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-04,,
,,,,,2022-05-05,,
,,,,,2022-07-09,,
,,,,,2022-07-10,,
,,,,,2022-07-11,,
,,,,,2022-07-12,,
,,,,,2022-07-31,,
,,,,,2022-10-09,,
,,,,,2022-11-18,,
,,,,,2022-11-19,,
,,,,,2023-02-18,,
,,,,,2023-04-21,,
,,,,,2023-04-22,,
,,,,,2023-06-28,,
,,,,,2023-06-29,,
,,,,,2023-06-30,,
,,,,,2023-07-19,,
,,,,,2023-09-28,,
