CALENDAR,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
Port Moresby,PGK Calendar,2,192,2022-01-01,,
,,,,2022-02-28,,
,,,,2022-04-15,,
,,,,2022-04-16,,
,,,,2022-04-18,,
,,,,2022-06-13,,
,,,,2022-07-23,,
,,,,2022-08-26,,
,,,,2022-09-16,,
,,,,2022-12-26,,
,,,,2022-12-27,,
,,,,2023-01-02,,
,,,,2023-02-26,,
,,,,2023-04-07,,
,,,,2023-04-08,,
,,,,2023-04-10,,
,,,,2023-06-12,,
,,,,2023-07-24,,
,,,,2023-08-26,,
,,,,2023-09-16,,
,,,,2023-12-25,,
,,,,2023-12-26,,
,,,,2024-01-01,,
,,,,2024-12-25,,
,,,,2025-01-01,,
,,,,2025-12-25,,
,,,,2026-01-01,,
,,,,2026-12-25,,
