CALENDAR,,,,,CALENDARDATE,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,,
SGSI,Singapore,SGD Calendar,2,192,2022-02-01,,
,,,,,2022-02-02,,
,,,,,2022-04-15,,
,,,,,2022-05-02,,
,,,,,2022-05-03,,
,,,,,2022-05-16,,
,,,,,2022-07-11,,
,,,,,2022-08-09,,
,,,,,2022-10-24,,
,,,,,2022-12-24,,
,,,,,2022-12-26,,
,,,,,2022-12-31,,
,,,,,2023-01-02,,
,,,,,2023-01-22,,
,,,,,2023-01-23,,
,,,,,2023-04-07,,
,,,,,2023-04-22,,
,,,,,2023-05-01,,
,,,,,2023-06-29,,
,,,,,2023-08-09,,
,,,,,2023-11-13,,
,,,,,2023-12-24,,
,,,,,2023-12-25,,
,,,,,2023-12-31,,
,,,,,2024-01-01,,
,,,,,2024-12-25,,
,,,,,2025-01-01,,
,,,,,2025-12-25,,
,,,,,2026-01-01,,
,,,,,2026-12-25,,
