CHOICELIST,,/CHOICELIST
LIST,ENTRY,
Category,BA,
Category,BI,
Category,BIDIS,
Category,BIGOV,
Category,BILLS,
Category,BINON,
Category,BIOB,
Category,BIOH,
Category,BIOTH,
Category,BISBI,
Category,BLT,
Category,BN,
Category,BOND,
Category,CBIDR,
Category,CBUSD,
Category,CBVALAS,
Category,CC,
Category,CCBI,
Category,CCDC,
Category,CCGOV,
Category,CCGV,
Category,CCND,
Category,CCOH,
Category,CCOTH,
Category,CCS,
Category,CCSBI,
Category,CL,
Category,CM,
Category,CMP,
Category,CMT,
Category,CWF,
Category,CWFDIS,
Category,CWFGOV,
Category,CWFNON,
Category,CWFOTH,
Category,CWFSBI,
Category,DIS,
Category,DU,
Category,EBA,
Category,FASBI,
Category,FR,
Category,FRA,
Category,FWD,
Category,GOV,
Category,IB,
Category,IBBI,
Category,IBDIS,
Category,IBGOV,
Category,IBNON,
Category,IBOB,
Category,IBOH,
Category,IBOTH,
Category,IBSBI,
Category,IDBI,
Category,IDSD,
Category,IDSV,
Category,INDOIS,
Category,IRS,
Category,IWF,
Category,IWFDIS,
Category,IWFGOV,
Category,IWFNON,
Category,IWFOTH,
Category,IWFSBI,
Category,LF,
Category,MCS,
Category,MD,
Category,MDCI,
Category,MDS,
Category,MLDR,
Category,MMLD,
Category,MPF,
Category,NCD,
Category,NDF,
Category,NEG,
Category,NEGDIS,
Category,NEGGOV,
Category,NEGNON,
Category,NEGOTH,
Category,NEGSBI,
Category,NON,
Category,NS,
Category,NTRF,
Category,OBL,
Category,OIS,
Category,OPT,
Category,ORI,
Category,OTH,
Category,OVB,
Category,OVBDIS,
Category,OVBGOV,
Category,OVBNON,
Category,OVBOTH,
Category,OVBSBI,
Category,OVP,
Category,OVT,
Category,PBS,
Category,RDPT,
Category,RDPU,
Category,ROI,
Category,SBBI,
Category,SBK,
Category,SHARI,
Category,SPN,
Category,SPNS,
Category,SPOT,
Category,SR,
Category,SUKBI,
Category,SWAP,
Category,TOD,
Category,TOM,
Category,UST,
Category,VR,
Category,ZCO,
