PORTFOLIOLINK,,,,/PORTFOLIOLINK
MEMBER_PRFNBR.PRFID,OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,
DUMMY DEPOSIT FOR STRUCTURED PRODUCT,,,Dummy Deposit for Str Product,
OVERSEAS,,,OVERSEAS,
SUBSIDIARIES,,,SUBSIDIARIES,
TREASURY HO,,,TREASURY HO,
BB Derivative Banking,Banking Derivatives,Banking Derivatives,BB Derivative Banking,
BB Derivative Hedging,Banking Derivatives,Banking Derivatives,BB Derivative Hedging,
BB FX,Banking FX,Banking FX,BB FX,
BB Bond BU,Banking IR,Banking IR,BB Bond BU,
BB Bond Treasury,Banking IR,Banking IR,BB Bond Treasury,
BB Bond Treasury Sharia,Banking IR,Banking IR,BB Bond Treasury Sharia,
BBM,BANKING_BOOK,BANKING_BOOK,BBM,
LAL,BANKING_BOOK,BANKING_BOOK,LAL,
Banknotes Branch Settlement,Banknotes,Banknotes,Banknotes Branch Settlement,
Banknotes Export Import,Banknotes,Banknotes,Banknotes Export Import,
Banknotes Interbank,Banknotes,Banknotes,Banknotes Interbank,
Banknotes Trader,Banknotes,Banknotes,Banknotes Trader,
Bonds BU Commercial Banking,BB Bond BU,BB Bond BU,Bonds BU Commercial Banking,
Bonds BU Corporate Banking,BB Bond BU,BB Bond BU,Bonds BU Corporate Banking,
Bonds BU GVI,BB Bond BU,BB Bond BU,Bonds BU GVI,
Bonds BU IBFI,BB Bond BU,BB Bond BU,Bonds BU IBFI,
Bonds BU SAM,BB Bond BU,BB Bond BU,Bonds BU SAM,
BB BOND AC,BB Bond Treasury,BB Bond Treasury,BB BOND AC,
BB BOND OCI,BB Bond Treasury,BB Bond Treasury,BB BOND OCI,
BB BOND PL,BB Bond Treasury,BB Bond Treasury,BB BOND PL,
BB BOND SHARIA AC,BB Bond Treasury Sharia,BB Bond Treasury Sharia,BB BOND SHARIA AC,
BB BOND SHARIA OCI,BB Bond Treasury Sharia,BB Bond Treasury Sharia,BB BOND SHARIA OCI,
BB BOND SHARIA PL,BB Bond Treasury Sharia,BB Bond Treasury Sharia,BB BOND SHARIA PL,
Banking Derivatives,BBM,BBM,Banking Derivatives,
Banking FX,BBM,BBM,Banking FX,
Banking IR,BBM,BBM,Banking IR,
BMCI Banking,BMCI,BMCI,BMCI Banking,
BMCI Trading,BMCI,BMCI,BMCI Trading,
BMDL Banking,BMDL,BMDL,BMDL Banking,
BMDL Trading,BMDL,BMDL,BMDL Trading,
BMHK Banking,BMHK,BMHK,BMHK Banking,
BMHK Trading,BMHK,BMHK,BMHK Trading,
BMSG Banking,BMSG,BMSG,BMSG Banking,
BMSG Trading,BMSG,BMSG,BMSG Trading,
BMSH Banking,BMSH,BMSH,BMSH Banking,
BMSH Trading,BMSH,BMSH,BMSH Trading,
Commercial 1,Bonds BU Commercial Banking,Bonds BU Commercial Banking,Commercial 1,
Commercial 2,Bonds BU Commercial Banking,Bonds BU Commercial Banking,Commercial 2,
Commercial 3,Bonds BU Commercial Banking,Bonds BU Commercial Banking,Commercial 3,
Commercial 4,Bonds BU Commercial Banking,Bonds BU Commercial Banking,Commercial 4,
Commercial 5,Bonds BU Commercial Banking,Bonds BU Commercial Banking,Commercial 5,
Commercial 6,Bonds BU Commercial Banking,Bonds BU Commercial Banking,Commercial 6,
CB 1,Bonds BU Corporate Banking,Bonds BU Corporate Banking,CB 1,
CB 2,Bonds BU Corporate Banking,Bonds BU Corporate Banking,CB 2,
CB 3,Bonds BU Corporate Banking,Bonds BU Corporate Banking,CB 3,
CB 4,Bonds BU Corporate Banking,Bonds BU Corporate Banking,CB 4,
CB 5,Bonds BU Corporate Banking,Bonds BU Corporate Banking,CB 5,
CB 6,Bonds BU Corporate Banking,Bonds BU Corporate Banking,CB 6,
GVI 1,Bonds BU GVI,Bonds BU GVI,GVI 1,
GVI 2,Bonds BU GVI,Bonds BU GVI,GVI 2,
IBFI 1,Bonds BU IBFI,Bonds BU IBFI,IBFI 1,
SAM 1,Bonds BU SAM,Bonds BU SAM,SAM 1,
SAM 2,Bonds BU SAM,Bonds BU SAM,SAM 2,
SAM 3,Bonds BU SAM,Bonds BU SAM,SAM 3,
Clients Bonds FI,Client Bonds,Client Bonds,Clients Bonds FI,
Clients Bonds Retail,Client Bonds,Client Bonds,Clients Bonds Retail,
Clients Bonds Tax Amnesty,Client Bonds,Client Bonds,Clients Bonds Tax Amnesty,
TAS,CLIENT_BOOK,CLIENT_BOOK,TAS,
TRC,CLIENT_BOOK,CLIENT_BOOK,TRC,
TWC,CLIENT_BOOK,CLIENT_BOOK,TWC,
STR DEPO Non-protected,DUMMY DEPOSIT FOR STRUCTURED PRODUCT,Dummy Deposit for Str Product,STR DEPO Non-protected,
STR DEPO Protected,DUMMY DEPOSIT FOR STRUCTURED PRODUCT,Dummy Deposit for Str Product,STR DEPO Protected,
Retail FX BO,FX Retail,FX Retail,Retail FX BO,
Retail FX Branch,FX Retail,FX Retail,Retail FX Branch,
Retail SP,FX Retail,FX Retail,Retail SP,
FXT Dept Head,FXT,FXT,FXT Dept Head,
FXT Derivatives,FXT,FXT,FXT Derivatives,
FXT Specialist,FXT,FXT,FXT Specialist,
FXT Spot Emerging,FXT,FXT,FXT Spot Emerging,
FXT Spot Major,FXT,FXT,FXT Spot Major,
FXT Derivatives 1,FXT Derivatives,FXT Derivatives,FXT Derivatives 1,
FXT Derivatives 2,FXT Derivatives,FXT Derivatives,FXT Derivatives 2,
FXT Derivatives 3,FXT Derivatives,FXT Derivatives,FXT Derivatives 3,
FXT Specialist 1,FXT Specialist,FXT Specialist,FXT Specialist 1,
FXT Specialist 2,FXT Specialist,FXT Specialist,FXT Specialist 2,
FXT Specialist 3,FXT Specialist,FXT Specialist,FXT Specialist 3,
FXT Spot Emerging 1,FXT Spot Emerging,FXT Spot Emerging,FXT Spot Emerging 1,
FXT Spot Emerging 2,FXT Spot Emerging,FXT Spot Emerging,FXT Spot Emerging 2,
FXT Spot Emerging 3,FXT Spot Emerging,FXT Spot Emerging,FXT Spot Emerging 3,
FXT Spot Major 1,FXT Spot Major,FXT Spot Major,FXT Spot Major 1,
FXT Spot Major 2,FXT Spot Major,FXT Spot Major,FXT Spot Major 2,
FXT Spot Major 3,FXT Spot Major,FXT Spot Major,FXT Spot Major 3,
IRT DCM,IRT,IRT,IRT DCM,
IRT Dept Head,IRT,IRT,IRT Dept Head,
IRT Derivative,IRT,IRT,IRT Derivative,
IRT MM,IRT,IRT,IRT MM,
IRT Specialist,IRT,IRT,IRT Specialist,
IRT DCM 1,IRT DCM,IRT DCM,IRT DCM 1,
IRT DCM 2,IRT DCM,IRT DCM,IRT DCM 2,
IRT DCM 3,IRT DCM,IRT DCM,IRT DCM 3,
IRT DCM 4,IRT DCM,IRT DCM,IRT DCM 4,
IRT DCM 5,IRT DCM,IRT DCM,IRT DCM 5,
IRT DCM 6,IRT DCM,IRT DCM,IRT DCM 6,
IRT DCM 7,IRT DCM,IRT DCM,IRT DCM 7,
IRT DCM 8,IRT DCM,IRT DCM,IRT DCM 8,
IRT Dept Head Bond RDPU Der,IRT Dept Head,IRT Dept Head,IRT Dept Head Bond RDPU Der,
IRT Dept Head Depo Loan Repo RR,IRT Dept Head,IRT Dept Head,IRT Dept Head Depo Loan Repo RR,
IRT Derivative 1,IRT Derivative,IRT Derivative,IRT Derivative 1,
IRT Derivative 2,IRT Derivative,IRT Derivative,IRT Derivative 2,
IRT MM Bond RDPU 1,IRT MM,IRT MM,IRT MM Bond RDPU 1,
IRT MM Bond RDPU 2,IRT MM,IRT MM,IRT MM Bond RDPU 2,
IRT MM Bond RDPU 3,IRT MM,IRT MM,IRT MM Bond RDPU 3,
IRT MM Depo Loan Repo RR 1,IRT MM,IRT MM,IRT MM Depo Loan Repo RR 1,
IRT MM Depo Loan Repo RR 2,IRT MM,IRT MM,IRT MM Depo Loan Repo RR 2,
IRT MM Depo Loan Repo RR 3,IRT MM,IRT MM,IRT MM Depo Loan Repo RR 3,
IRT Specialist 1,IRT Specialist,IRT Specialist,IRT Specialist 1,
ALM Bilateral Loans,LAL,LAL,ALM Bilateral Loans,
ALM Bonds Issued,LAL,LAL,ALM Bonds Issued,
LIQ BI,LAL,LAL,LIQ BI,
LIQ IB,LAL,LAL,LIQ IB,
LIQ MM,LAL,LAL,LIQ MM,
LIQ NOS,LAL,LAL,LIQ NOS,
BMCI,OVERSEAS,OVERSEAS,BMCI,
BMDL,OVERSEAS,OVERSEAS,BMDL,
BMHK,OVERSEAS,OVERSEAS,BMHK,
BMSG,OVERSEAS,OVERSEAS,BMSG,
BMSH,OVERSEAS,OVERSEAS,BMSH,
BMEL,SUBSIDIARIES,SUBSIDIARIES,BMEL,
BMTP,SUBSIDIARIES,SUBSIDIARIES,BMTP,
BSI,SUBSIDIARIES,SUBSIDIARIES,BSI,
MANSEK,SUBSIDIARIES,SUBSIDIARIES,MANSEK,
MCI,SUBSIDIARIES,SUBSIDIARIES,MCI,
MIR,SUBSIDIARIES,SUBSIDIARIES,MIR,
MTF,SUBSIDIARIES,SUBSIDIARIES,MTF,
MUF,SUBSIDIARIES,SUBSIDIARIES,MUF,
Marktra,TAS,TAS,Marktra,
FXT,TRADING_BOOK,TRADING_BOOK,FXT,
IRT,TRADING_BOOK,TRADING_BOOK,IRT,
Banknotes,TRC,TRC,Banknotes,
Client Bonds,TRC,TRC,Client Bonds,
FX Retail,TRC,TRC,FX Retail,
BANKING_BOOK,TREASURY HO,TREASURY HO,BANKING_BOOK,
CLIENT_BOOK,TREASURY HO,TREASURY HO,CLIENT_BOOK,
PDN,TREASURY HO,TREASURY HO,PDN,
TRADING_BOOK,TREASURY HO,TREASURY HO,TRADING_BOOK,
Wholesale FX & Derivative BO,TWC,TWC,Wholesale FX & Derivative BO,
Wholesale FX Branch,TWC,TWC,Wholesale FX Branch,
Wholesale SP,TWC,TWC,Wholesale SP,
