PORTFOLIO,,,,,,,,,,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,OWNER_PTYNBR.PTYID,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,TYPE_CHLNBR.ENTRY,
,,ALM Bilateral Loans,,,,ALM Bilateral Loans,IDR,PortfolioType,,
,,ALM Bonds Issued,,,,ALM Bonds Issued,IDR,PortfolioType,,
,Yes,Banking Derivatives,,,,Banking Derivatives,IDR,PortfolioType,,
,Yes,Banking FX,,,,Banking FX,IDR,PortfolioType,,
,Yes,Banking IR,,,,Banking IR,IDR,PortfolioType,,
,Yes,BANKING_BOOK,,,,BANKING_BOOK,IDR,PortfolioType,,
,Yes,Banknotes,,,,Banknotes,IDR,PortfolioType,,
,,Banknotes Branch Settlement,,,,Banknotes Branch Settlement,IDR,PortfolioType,,
,Yes,BANKNOTES EXIM,,,,BANKNOTES EXIM,IDR,PortfolioType,,
,,Banknotes Export Import,,,,Banknotes Export Import,IDR,PortfolioType,,
,,Banknotes Interbank,,,,Banknotes Interbank,IDR,PortfolioType,,
,,Banknotes Trader,,,,Banknotes Trader,IDR,PortfolioType,,
,,BB BOND AC,,,,BB BOND AC,IDR,PortfolioType,Amortised Cost,
,Yes,BB Bond BU,,,,BB Bond BU,IDR,PortfolioType,,
,,BB BOND OCI,,,,BB BOND OCI,IDR,PortfolioType,FVOCI,
,,BB BOND PL,,,,BB BOND PL,IDR,PortfolioType,FVTPL,
,,BB BOND SHARIA AC,,,,BB BOND SHARIA AC,IDR,PortfolioType,Amortised Cost,
,,BB BOND SHARIA OCI,,,,BB BOND SHARIA OCI,IDR,PortfolioType,FVOCI,
,,BB BOND SHARIA PL,,,,BB BOND SHARIA PL,IDR,PortfolioType,FVTPL,
,Yes,BB Bond Treasury,,,,BB Bond Treasury,IDR,PortfolioType,,
,Yes,BB Bond Treasury Sharia,,,,BB Bond Treasury Sharia,IDR,PortfolioType,,
,,BB Derivative Banking,,,,BB Derivative Banking,IDR,PortfolioType,,
,,BB Derivative Hedging,,,,BB Derivative Hedging,IDR,PortfolioType,,
,,BB FX,,,,BB FX,IDR,PortfolioType,,
,Yes,BBM,,,,BBM,IDR,PortfolioType,,
,Yes,BMCI,,,,BMCI,IDR,PortfolioType,,
,,BMCI Banking,,,,BMCI Banking,IDR,PortfolioType,,
,,BMCI Trading,,,,BMCI Trading,IDR,PortfolioType,,
,Yes,BMDL,,,,BMDL,IDR,PortfolioType,,
,,BMDL Banking,,,,BMDL Banking,IDR,PortfolioType,,
,,BMDL Trading,,,,BMDL Trading,IDR,PortfolioType,,
,,BMEL,,,,BMEL,IDR,PortfolioType,,
,Yes,BMHK,,,,BMHK,IDR,PortfolioType,,
,,BMHK Banking,,,,BMHK Banking,IDR,PortfolioType,,
,,BMHK Trading,,,,BMHK Trading,IDR,PortfolioType,,
,Yes,BMSG,,,,BMSG,IDR,PortfolioType,,
,,BMSG Banking,,,,BMSG Banking,IDR,PortfolioType,,
,,BMSG Trading,,,,BMSG Trading,IDR,PortfolioType,,
,Yes,BMSH,,,,BMSH,IDR,PortfolioType,,
,,BMSH Banking,,,,BMSH Banking,IDR,PortfolioType,,
,,BMSH Trading,,,,BMSH Trading,IDR,PortfolioType,,
,,BMTP,,,,BMTP,IDR,PortfolioType,,
,Yes,Bonds BU Commercial Banking,,,,Bonds BU Commercial Banking,IDR,PortfolioType,,
,Yes,Bonds BU Corporate Banking,,,,Bonds BU Corporate Banking,IDR,PortfolioType,,
,Yes,Bonds BU GVI,,,,Bonds BU GVI,IDR,PortfolioType,,
,Yes,Bonds BU IBFI,,,,Bonds BU IBFI,IDR,PortfolioType,,
,Yes,Bonds BU SAM,,,,Bonds BU SAM,IDR,PortfolioType,,
,,BSI,,,,BSI,IDR,PortfolioType,,
,,CB 1,,,,CB 1,IDR,PortfolioType,,
,,CB 2,,,,CB 2,IDR,PortfolioType,,
,,CB 3,,,,CB 3,IDR,PortfolioType,,
,,CB 4,,,,CB 4,IDR,PortfolioType,,
,,CB 5,,,,CB 5,IDR,PortfolioType,,
,,CB 6,,,,CB 6,IDR,PortfolioType,,
,,Child 2,,,,Child 2,IDR,PortfolioType,,
,Yes,Client Bonds,,,,Client Bonds,IDR,PortfolioType,,
,,Clients Bonds FI,,,,Clients Bonds FI,IDR,PortfolioType,,
,,Clients Bonds Retail,,,,Clients Bonds Retail,IDR,PortfolioType,,
,,Clients Bonds Tax Amnesty,,,,Clients Bonds Tax Amnesty,IDR,PortfolioType,,
,Yes,CLIENT_BOOK,,,,CLIENT_BOOK,IDR,PortfolioType,,
,,Commercial 1,,,,Commercial 1,IDR,PortfolioType,,
,,Commercial 2,,,,Commercial 2,IDR,PortfolioType,,
,,Commercial 3,,,,Commercial 3,IDR,PortfolioType,,
,,Commercial 4,,,,Commercial 4,IDR,PortfolioType,,
,,Commercial 5,,,,Commercial 5,IDR,PortfolioType,,
,,Commercial 6,,,,Commercial 6,IDR,PortfolioType,,
,Yes,Dummy Deposit for Str Product,,,,DUMMY DEPOSIT FOR STRUCTURED PRODUCT,IDR,PortfolioType,,
,,Dummy Fund Constituent,,,,Dummy Fund Constituent,IDR,PortfolioType,,
,Yes,DUMMY FUND CONSTITUENTS,,,,DUMMY FUND CONSTITUENTS,IDR,PortfolioType,,
,Yes,FX Retail,,,,FX Retail,IDR,PortfolioType,,
,Yes,FXT,,,,FXT,IDR,PortfolioType,,
,,FXT Dept Head,,,,FXT Dept Head,IDR,PortfolioType,,
,Yes,FXT Derivatives,,,,FXT Derivatives,IDR,PortfolioType,,
,,FXT Derivatives 1,,,,FXT Derivatives 1,IDR,PortfolioType,,
,,FXT Derivatives 2,,,,FXT Derivatives 2,IDR,PortfolioType,,
,,FXT Derivatives 3,,,,FXT Derivatives 3,IDR,PortfolioType,,
,Yes,FXT Specialist,,,,FXT Specialist,IDR,PortfolioType,,
,,FXT Specialist 1,,,,FXT Specialist 1,IDR,PortfolioType,,
,,FXT Specialist 2,,,,FXT Specialist 2,IDR,PortfolioType,,
,,FXT Specialist 3,,,,FXT Specialist 3,IDR,PortfolioType,,
,Yes,FXT Spot Emerging,,,,FXT Spot Emerging,IDR,PortfolioType,,
,,FXT Spot Emerging 1,,,,FXT Spot Emerging 1,IDR,PortfolioType,,
,,FXT Spot Emerging 2,,,,FXT Spot Emerging 2,IDR,PortfolioType,,
,,FXT Spot Emerging 3,,,,FXT Spot Emerging 3,IDR,PortfolioType,,
,Yes,FXT Spot Major,,,,FXT Spot Major,IDR,PortfolioType,,
,,FXT Spot Major 1,,,,FXT Spot Major 1,IDR,PortfolioType,,
,,FXT Spot Major 2,,,,FXT Spot Major 2,IDR,PortfolioType,,
,,FXT Spot Major 3,,,,FXT Spot Major 3,IDR,PortfolioType,,
,,GVI 1,,,,GVI 1,IDR,PortfolioType,,
,,GVI 2,,,,GVI 2,IDR,PortfolioType,,
,,IBFI 1,,,,IBFI 1,IDR,PortfolioType,,
,Yes,IRT,,,,IRT,IDR,PortfolioType,,
,Yes,IRT DCM,,,,IRT DCM,IDR,PortfolioType,,
,,IRT DCM 1,,,,IRT DCM 1,IDR,PortfolioType,,
,,IRT DCM 2,,,,IRT DCM 2,IDR,PortfolioType,,
,,IRT DCM 3,,,,IRT DCM 3,IDR,PortfolioType,,
,,IRT DCM 4,,,,IRT DCM 4,IDR,PortfolioType,,
,,IRT DCM 5,,,,IRT DCM 5,IDR,PortfolioType,,
,,IRT DCM 6,,,,IRT DCM 6,IDR,PortfolioType,,
,,IRT DCM 7,,,,IRT DCM 7,IDR,PortfolioType,,
,,IRT DCM 8,,,,IRT DCM 8,IDR,PortfolioType,,
,Yes,IRT Dept Head,,,,IRT Dept Head,IDR,PortfolioType,,
,,IRT Dept Head Bond RDPU Der,,,,IRT Dept Head Bond RDPU Der,IDR,PortfolioType,,
,,IRT Dept Head Depo Loan Repo RR,,,,IRT Dept Head Depo Loan Repo RR,IDR,PortfolioType,,
,Yes,IRT Derivative,,,,IRT Derivative,IDR,PortfolioType,,
,,IRT Derivative 1,,,,IRT Derivative 1,IDR,PortfolioType,,
,,IRT Derivative 2,,,,IRT Derivative 2,IDR,PortfolioType,,
,Yes,IRT MM,,,,IRT MM,IDR,PortfolioType,,
,,IRT MM Bond RDPU 1,,,,IRT MM Bond RDPU 1,IDR,PortfolioType,,
,,IRT MM Bond RDPU 2,,,,IRT MM Bond RDPU 2,IDR,PortfolioType,,
,,IRT MM Bond RDPU 3,,,,IRT MM Bond RDPU 3,IDR,PortfolioType,,
,,IRT MM Depo Loan Repo RR 1,,,,IRT MM Depo Loan Repo RR 1,IDR,PortfolioType,,
,,IRT MM Depo Loan Repo RR 2,,,,IRT MM Depo Loan Repo RR 2,IDR,PortfolioType,,
,,IRT MM Depo Loan Repo RR 3,,,,IRT MM Depo Loan Repo RR 3,IDR,PortfolioType,,
,Yes,IRT Specialist,,,,IRT Specialist,IDR,PortfolioType,,
,,IRT Specialist 1,,,,IRT Specialist 1,IDR,PortfolioType,,
,Yes,LAL,,,,LAL,IDR,PortfolioType,,
,,LALA,,,,LALA,IDR,PortfolioType,,
,,LIQ BI,,,,LIQ BI,IDR,PortfolioType,,
,,LIQ IB,,,,LIQ IB,IDR,PortfolioType,,
,,LIQ MM,,,,LIQ MM,IDR,PortfolioType,,
,,LIQ NOS,,,,LIQ NOS,IDR,PortfolioType,,
,,MANSEK,,,,MANSEK,IDR,PortfolioType,,
,,Marktra,,,,Marktra,IDR,PortfolioType,,
,,MCI,,,,MCI,IDR,PortfolioType,,
,,MIR,,,,MIR,IDR,PortfolioType,,
,,MTF,,,,MTF,IDR,PortfolioType,,
,,MUF,,,,MUF,IDR,PortfolioType,,
,Yes,OVERSEAS,,,,OVERSEAS,IDR,PortfolioType,,
,Yes,Parent 2,,,,Parent 2,IDR,PortfolioType,,
,,PDN,,,,PDN,IDR,PortfolioType,,
,,Retail FX BO,,,,Retail FX BO,IDR,PortfolioType,,
,,Retail FX Branch,,,,Retail FX Branch,IDR,PortfolioType,,
,,Retail SP,,,,Retail SP,IDR,PortfolioType,,
,,SAM 1,,,,SAM 1,IDR,PortfolioType,,
,,SAM 2,,,,SAM 2,IDR,PortfolioType,,
,,SAM 3,,,,SAM 3,IDR,PortfolioType,,
,,STR DEPO Non-protected,,,,STR DEPO Non-protected,IDR,PortfolioType,,
,,STR DEPO Protected,,,,STR DEPO Protected,IDR,PortfolioType,,
,Yes,SUBSIDIARIES,,,,SUBSIDIARIES,IDR,PortfolioType,,
,Yes,TAS,,,,TAS,IDR,PortfolioType,,
,,Test Portfolio,,,,Test Portfolio,IDR,PortfolioType,,
,Yes,TRADING_BOOK,,,,TRADING_BOOK,IDR,PortfolioType,,
,Yes,TRC,,,,TRC,IDR,PortfolioType,,
,Yes,TREASURY HO,,,,TREASURY HO,IDR,PortfolioType,,
,Yes,TWC,,,,TWC,IDR,PortfolioType,,
IDR,,Wholesale FX & Derivative BO,,USD,USD/IDR,Wholesale FX & Derivative BO,IDR,PortfolioType,,
,,Wholesale FX Branch,,,,Wholesale FX Branch,IDR,PortfolioType,,
,,Wholesale SP,,,,Wholesale SP,IDR,PortfolioType,,
