COMPONENT,,/COMPONENT
COMPNAME,TYPE,
ALM Bilateral Loans,Portfolio,
ALM Bonds Issued,Portfolio,
Banking Derivatives,Portfolio,
Banking FX,Portfolio,
Banking IR,Portfolio,
BANKING_BOOK,Portfolio,
Banknotes,Portfolio,
Banknotes Branch Settlement,Portfolio,
BANKNOTES EXIM,Portfolio,
Banknotes Export Import,Portfolio,
Banknotes Interbank,Portfolio,
Banknotes Trader,Portfolio,
BB BOND AC,Portfolio,
BB Bond BU,Portfolio,
BB BOND OCI,Portfolio,
BB BOND PL,Portfolio,
BB BOND SHARIA AC,Portfolio,
BB BOND SHARIA OCI,Portfolio,
BB BOND SHARIA PL,Portfolio,
BB Bond Treasury,Portfolio,
BB Bond Treasury Sharia,Portfolio,
BB Derivative Banking,Portfolio,
BB Derivative Hedging,Portfolio,
BB FX,Portfolio,
BBM,Portfolio,
BMCI,Portfolio,
BMCI Banking,Portfolio,
BMCI Trading,Portfolio,
BMDL,Portfolio,
BMDL Banking,Portfolio,
BMDL Trading,Portfolio,
BMEL,Portfolio,
BMHK,Portfolio,
BMHK Banking,Portfolio,
BMHK Trading,Portfolio,
BMSG,Portfolio,
BMSG Banking,Portfolio,
BMSG Trading,Portfolio,
BMSH,Portfolio,
BMSH Banking,Portfolio,
BMSH Trading,Portfolio,
BMTP,Portfolio,
Bonds BU Commercial Banking,Portfolio,
Bonds BU Corporate Banking,Portfolio,
Bonds BU GVI,Portfolio,
Bonds BU IBFI,Portfolio,
Bonds BU SAM,Portfolio,
BSI,Portfolio,
CB 1,Portfolio,
CB 2,Portfolio,
CB 3,Portfolio,
CB 4,Portfolio,
CB 5,Portfolio,
CB 6,Portfolio,
Child 2,Portfolio,
Client Bonds,Portfolio,
CLIENT_BOOK,Portfolio,
Clients Bonds FI,Portfolio,
Clients Bonds Retail,Portfolio,
Clients Bonds Tax Amnesty,Portfolio,
Commercial 1,Portfolio,
Commercial 2,Portfolio,
Commercial 3,Portfolio,
Commercial 4,Portfolio,
Commercial 5,Portfolio,
Commercial 6,Portfolio,
DEFAULT_POOL,Portfolio,
DUMMY DEPOSIT FOR STRUCTURED PRODUCT,Portfolio,
Dummy Fund Constituent,Portfolio,
DUMMY FUND CONSTITUENTS,Portfolio,
FX Retail,Portfolio,
FXT,Portfolio,
FXT Dept Head,Portfolio,
FXT Derivatives,Portfolio,
FXT Derivatives 1,Portfolio,
FXT Derivatives 2,Portfolio,
FXT Derivatives 3,Portfolio,
FXT Specialist,Portfolio,
FXT Specialist 1,Portfolio,
FXT Specialist 2,Portfolio,
FXT Specialist 3,Portfolio,
FXT Spot Emerging,Portfolio,
FXT Spot Emerging 1,Portfolio,
FXT Spot Emerging 2,Portfolio,
FXT Spot Emerging 3,Portfolio,
FXT Spot Major,Portfolio,
FXT Spot Major 1,Portfolio,
FXT Spot Major 2,Portfolio,
FXT Spot Major 3,Portfolio,
GVI 1,Portfolio,
GVI 2,Portfolio,
IBFI 1,Portfolio,
IRT,Portfolio,
IRT DCM,Portfolio,
IRT DCM 1,Portfolio,
IRT DCM 2,Portfolio,
IRT DCM 3,Portfolio,
IRT DCM 4,Portfolio,
IRT DCM 5,Portfolio,
IRT DCM 6,Portfolio,
IRT DCM 7,Portfolio,
IRT DCM 8,Portfolio,
IRT Dept Head,Portfolio,
IRT Dept Head Bond RDPU Der,Portfolio,
IRT Dept Head Depo Loan Repo RR,Portfolio,
IRT Derivative,Portfolio,
IRT Derivative 1,Portfolio,
IRT Derivative 2,Portfolio,
IRT MM,Portfolio,
IRT MM Bond RDPU 1,Portfolio,
IRT MM Bond RDPU 2,Portfolio,
IRT MM Bond RDPU 3,Portfolio,
IRT MM Depo Loan Repo RR 1,Portfolio,
IRT MM Depo Loan Repo RR 2,Portfolio,
IRT MM Depo Loan Repo RR 3,Portfolio,
IRT Specialist,Portfolio,
IRT Specialist 1,Portfolio,
LAL,Portfolio,
LALA,Portfolio,
LIQ BI,Portfolio,
LIQ IB,Portfolio,
LIQ MM,Portfolio,
LIQ NOS,Portfolio,
MANSEK,Portfolio,
Marktra,Portfolio,
MCI,Portfolio,
MIR,Portfolio,
MTF,Portfolio,
MUF,Portfolio,
New Group,Portfolio,
OVERSEAS,Portfolio,
Parent 2,Portfolio,
PDN,Portfolio,
Retail FX BO,Portfolio,
Retail FX Branch,Portfolio,
Retail SP,Portfolio,
SAM 1,Portfolio,
SAM 2,Portfolio,
SAM 3,Portfolio,
STR DEPO Non-protected,Portfolio,
STR DEPO Protected,Portfolio,
SUBSIDIARIES,Portfolio,
TAS,Portfolio,
Test Portfolio,Portfolio,
TRADING_BOOK,Portfolio,
TRC,Portfolio,
TREASURY HO,Portfolio,
TWC,Portfolio,
Wholesale FX & Derivative BO,Portfolio,
Wholesale FX Branch,Portfolio,
Wholesale SP,Portfolio,
