PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,4.12408,Yes,256,2017-01-03,IDR/INDONIA,IDR,
EOD_MtM,4.12935,Yes,256,2017-01-04,IDR/INDONIA,IDR,
EOD_MtM,4.12697,Yes,256,2017-01-05,IDR/INDONIA,IDR,
EOD_MtM,4.13105,Yes,256,2017-01-06,IDR/INDONIA,IDR,
EOD_MtM,4.14132,Yes,256,2017-01-09,IDR/INDONIA,IDR,
EOD_MtM,4.14006,Yes,256,2017-01-10,IDR/INDONIA,IDR,
EOD_MtM,4.13053,Yes,256,2017-01-11,IDR/INDONIA,IDR,
EOD_MtM,4.12798,Yes,256,2017-01-12,IDR/INDONIA,IDR,
EOD_MtM,4.14848,Yes,256,2017-01-13,IDR/INDONIA,IDR,
EOD_MtM,4.1476,Yes,256,2017-01-16,IDR/INDONIA,IDR,
EOD_MtM,4.1531,Yes,256,2017-01-17,IDR/INDONIA,IDR,
EOD_MtM,4.1468,Yes,256,2017-01-18,IDR/INDONIA,IDR,
EOD_MtM,4.13607,Yes,256,2017-01-19,IDR/INDONIA,IDR,
EOD_MtM,4.1436,Yes,256,2017-01-20,IDR/INDONIA,IDR,
EOD_MtM,4.13734,Yes,256,2017-01-23,IDR/INDONIA,IDR,
EOD_MtM,4.12791,Yes,256,2017-01-24,IDR/INDONIA,IDR,
EOD_MtM,4.1433,Yes,256,2017-01-25,IDR/INDONIA,IDR,
EOD_MtM,4.12864,Yes,256,2017-01-26,IDR/INDONIA,IDR,
EOD_MtM,4.13747,Yes,256,2017-01-27,IDR/INDONIA,IDR,
EOD_MtM,4.15397,Yes,256,2017-01-30,IDR/INDONIA,IDR,
EOD_MtM,4.12846,Yes,256,2017-01-31,IDR/INDONIA,IDR,
EOD_MtM,4.1368,Yes,256,2017-02-01,IDR/INDONIA,IDR,
EOD_MtM,4.15129,Yes,256,2017-02-02,IDR/INDONIA,IDR,
EOD_MtM,4.13641,Yes,256,2017-02-03,IDR/INDONIA,IDR,
EOD_MtM,4.16394,Yes,256,2017-02-06,IDR/INDONIA,IDR,
EOD_MtM,4.1814,Yes,256,2017-02-07,IDR/INDONIA,IDR,
EOD_MtM,4.15806,Yes,256,2017-02-08,IDR/INDONIA,IDR,
EOD_MtM,4.20821,Yes,256,2017-02-09,IDR/INDONIA,IDR,
EOD_MtM,4.27506,Yes,256,2017-02-10,IDR/INDONIA,IDR,
EOD_MtM,4.22124,Yes,256,2017-02-13,IDR/INDONIA,IDR,
EOD_MtM,4.3985,Yes,256,2017-02-14,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-02-15,IDR/INDONIA,IDR,
EOD_MtM,4.21701,Yes,256,2017-02-16,IDR/INDONIA,IDR,
EOD_MtM,4.31606,Yes,256,2017-02-17,IDR/INDONIA,IDR,
EOD_MtM,4.31285,Yes,256,2017-02-20,IDR/INDONIA,IDR,
EOD_MtM,4.33025,Yes,256,2017-02-21,IDR/INDONIA,IDR,
EOD_MtM,4.25817,Yes,256,2017-02-22,IDR/INDONIA,IDR,
EOD_MtM,4.26165,Yes,256,2017-02-23,IDR/INDONIA,IDR,
EOD_MtM,4.23452,Yes,256,2017-02-24,IDR/INDONIA,IDR,
EOD_MtM,4.27027,Yes,256,2017-02-27,IDR/INDONIA,IDR,
EOD_MtM,4.26673,Yes,256,2017-02-28,IDR/INDONIA,IDR,
EOD_MtM,4.24015,Yes,256,2017-03-01,IDR/INDONIA,IDR,
EOD_MtM,4.27684,Yes,256,2017-03-02,IDR/INDONIA,IDR,
EOD_MtM,4.27134,Yes,256,2017-03-03,IDR/INDONIA,IDR,
EOD_MtM,4.27746,Yes,256,2017-03-06,IDR/INDONIA,IDR,
EOD_MtM,4.28851,Yes,256,2017-03-07,IDR/INDONIA,IDR,
EOD_MtM,4.25955,Yes,256,2017-03-08,IDR/INDONIA,IDR,
EOD_MtM,4.32495,Yes,256,2017-03-09,IDR/INDONIA,IDR,
EOD_MtM,4.24826,Yes,256,2017-03-10,IDR/INDONIA,IDR,
EOD_MtM,4.29227,Yes,256,2017-03-13,IDR/INDONIA,IDR,
EOD_MtM,4.30935,Yes,256,2017-03-14,IDR/INDONIA,IDR,
EOD_MtM,4.24974,Yes,256,2017-03-15,IDR/INDONIA,IDR,
EOD_MtM,4.29597,Yes,256,2017-03-16,IDR/INDONIA,IDR,
EOD_MtM,4.26998,Yes,256,2017-03-17,IDR/INDONIA,IDR,
EOD_MtM,4.32834,Yes,256,2017-03-20,IDR/INDONIA,IDR,
EOD_MtM,4.38359,Yes,256,2017-03-21,IDR/INDONIA,IDR,
EOD_MtM,4.26121,Yes,256,2017-03-22,IDR/INDONIA,IDR,
EOD_MtM,4.35092,Yes,256,2017-03-23,IDR/INDONIA,IDR,
EOD_MtM,4.33786,Yes,256,2017-03-24,IDR/INDONIA,IDR,
EOD_MtM,4.36509,Yes,256,2017-03-27,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-03-28,IDR/INDONIA,IDR,
EOD_MtM,4.31763,Yes,256,2017-03-29,IDR/INDONIA,IDR,
EOD_MtM,4.36469,Yes,256,2017-03-30,IDR/INDONIA,IDR,
EOD_MtM,4.32963,Yes,256,2017-03-31,IDR/INDONIA,IDR,
EOD_MtM,4.31185,Yes,256,2017-04-03,IDR/INDONIA,IDR,
EOD_MtM,4.31428,Yes,256,2017-04-04,IDR/INDONIA,IDR,
EOD_MtM,4.28958,Yes,256,2017-04-05,IDR/INDONIA,IDR,
EOD_MtM,4.33401,Yes,256,2017-04-06,IDR/INDONIA,IDR,
EOD_MtM,4.3127,Yes,256,2017-04-07,IDR/INDONIA,IDR,
EOD_MtM,4.35257,Yes,256,2017-04-10,IDR/INDONIA,IDR,
EOD_MtM,4.58111,Yes,256,2017-04-11,IDR/INDONIA,IDR,
EOD_MtM,4.30725,Yes,256,2017-04-12,IDR/INDONIA,IDR,
EOD_MtM,4.67102,Yes,256,2017-04-13,IDR/INDONIA,IDR,
EOD_MtM,4.67102,Yes,256,2017-04-14,IDR/INDONIA,IDR,
EOD_MtM,4.3876,Yes,256,2017-04-17,IDR/INDONIA,IDR,
EOD_MtM,4.32836,Yes,256,2017-04-18,IDR/INDONIA,IDR,
EOD_MtM,4.32529,Yes,256,2017-04-19,IDR/INDONIA,IDR,
EOD_MtM,4.28722,Yes,256,2017-04-20,IDR/INDONIA,IDR,
EOD_MtM,4.30329,Yes,256,2017-04-21,IDR/INDONIA,IDR,
EOD_MtM,4.30329,Yes,256,2017-04-24,IDR/INDONIA,IDR,
EOD_MtM,4.30965,Yes,256,2017-04-25,IDR/INDONIA,IDR,
EOD_MtM,4.30735,Yes,256,2017-04-26,IDR/INDONIA,IDR,
EOD_MtM,4.4567,Yes,256,2017-04-27,IDR/INDONIA,IDR,
EOD_MtM,4.35344,Yes,256,2017-04-28,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-05-01,IDR/INDONIA,IDR,
EOD_MtM,4.34556,Yes,256,2017-05-02,IDR/INDONIA,IDR,
EOD_MtM,4.31201,Yes,256,2017-05-03,IDR/INDONIA,IDR,
EOD_MtM,4.36421,Yes,256,2017-05-04,IDR/INDONIA,IDR,
EOD_MtM,4.32675,Yes,256,2017-05-05,IDR/INDONIA,IDR,
EOD_MtM,4.34334,Yes,256,2017-05-08,IDR/INDONIA,IDR,
EOD_MtM,4.35142,Yes,256,2017-05-09,IDR/INDONIA,IDR,
EOD_MtM,4.30776,Yes,256,2017-05-10,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-05-11,IDR/INDONIA,IDR,
EOD_MtM,4.59076,Yes,256,2017-05-12,IDR/INDONIA,IDR,
EOD_MtM,4.36455,Yes,256,2017-05-15,IDR/INDONIA,IDR,
EOD_MtM,4.35494,Yes,256,2017-05-16,IDR/INDONIA,IDR,
EOD_MtM,4.30999,Yes,256,2017-05-17,IDR/INDONIA,IDR,
EOD_MtM,4.3306,Yes,256,2017-05-18,IDR/INDONIA,IDR,
EOD_MtM,4.31869,Yes,256,2017-05-19,IDR/INDONIA,IDR,
EOD_MtM,4.31697,Yes,256,2017-05-22,IDR/INDONIA,IDR,
EOD_MtM,4.34771,Yes,256,2017-05-23,IDR/INDONIA,IDR,
EOD_MtM,4.31638,Yes,256,2017-05-24,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-05-25,IDR/INDONIA,IDR,
EOD_MtM,4.33645,Yes,256,2017-05-26,IDR/INDONIA,IDR,
EOD_MtM,4.31942,Yes,256,2017-05-29,IDR/INDONIA,IDR,
EOD_MtM,4.38473,Yes,256,2017-05-30,IDR/INDONIA,IDR,
EOD_MtM,4.30278,Yes,256,2017-05-31,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-06-01,IDR/INDONIA,IDR,
EOD_MtM,4.31383,Yes,256,2017-06-02,IDR/INDONIA,IDR,
EOD_MtM,4.31014,Yes,256,2017-06-05,IDR/INDONIA,IDR,
EOD_MtM,4.35829,Yes,256,2017-06-06,IDR/INDONIA,IDR,
EOD_MtM,4.27773,Yes,256,2017-06-07,IDR/INDONIA,IDR,
EOD_MtM,4.33804,Yes,256,2017-06-08,IDR/INDONIA,IDR,
EOD_MtM,4.34586,Yes,256,2017-06-09,IDR/INDONIA,IDR,
EOD_MtM,4.33972,Yes,256,2017-06-12,IDR/INDONIA,IDR,
EOD_MtM,4.54843,Yes,256,2017-06-13,IDR/INDONIA,IDR,
EOD_MtM,4.28677,Yes,256,2017-06-14,IDR/INDONIA,IDR,
EOD_MtM,4.31635,Yes,256,2017-06-15,IDR/INDONIA,IDR,
EOD_MtM,4.31578,Yes,256,2017-06-16,IDR/INDONIA,IDR,
EOD_MtM,4.49992,Yes,256,2017-06-19,IDR/INDONIA,IDR,
EOD_MtM,4.6061,Yes,256,2017-06-20,IDR/INDONIA,IDR,
EOD_MtM,4.39086,Yes,256,2017-06-21,IDR/INDONIA,IDR,
EOD_MtM,4.69042,Yes,256,2017-06-22,IDR/INDONIA,IDR,
EOD_MtM,4.69042,Yes,256,2017-06-23,IDR/INDONIA,IDR,
EOD_MtM,4.69042,Yes,256,2017-06-26,IDR/INDONIA,IDR,
EOD_MtM,4.69042,Yes,256,2017-06-27,IDR/INDONIA,IDR,
EOD_MtM,4.69042,Yes,256,2017-06-28,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-06-29,IDR/INDONIA,IDR,
EOD_MtM,4.28913,Yes,256,2017-06-30,IDR/INDONIA,IDR,
EOD_MtM,4.30375,Yes,256,2017-07-03,IDR/INDONIA,IDR,
EOD_MtM,4.29158,Yes,256,2017-07-04,IDR/INDONIA,IDR,
EOD_MtM,4.28107,Yes,256,2017-07-05,IDR/INDONIA,IDR,
EOD_MtM,4.30151,Yes,256,2017-07-06,IDR/INDONIA,IDR,
EOD_MtM,4.28142,Yes,256,2017-07-07,IDR/INDONIA,IDR,
EOD_MtM,4.28263,Yes,256,2017-07-10,IDR/INDONIA,IDR,
EOD_MtM,4.35014,Yes,256,2017-07-11,IDR/INDONIA,IDR,
EOD_MtM,4.27128,Yes,256,2017-07-12,IDR/INDONIA,IDR,
EOD_MtM,4.34459,Yes,256,2017-07-13,IDR/INDONIA,IDR,
EOD_MtM,4.28289,Yes,256,2017-07-14,IDR/INDONIA,IDR,
EOD_MtM,4.29183,Yes,256,2017-07-17,IDR/INDONIA,IDR,
EOD_MtM,4.33826,Yes,256,2017-07-18,IDR/INDONIA,IDR,
EOD_MtM,4.2998,Yes,256,2017-07-19,IDR/INDONIA,IDR,
EOD_MtM,4.36611,Yes,256,2017-07-20,IDR/INDONIA,IDR,
EOD_MtM,4.27939,Yes,256,2017-07-21,IDR/INDONIA,IDR,
EOD_MtM,4.30102,Yes,256,2017-07-24,IDR/INDONIA,IDR,
EOD_MtM,4.35941,Yes,256,2017-07-25,IDR/INDONIA,IDR,
EOD_MtM,4.30387,Yes,256,2017-07-26,IDR/INDONIA,IDR,
EOD_MtM,4.38589,Yes,256,2017-07-27,IDR/INDONIA,IDR,
EOD_MtM,4.28941,Yes,256,2017-07-28,IDR/INDONIA,IDR,
EOD_MtM,4.27671,Yes,256,2017-07-31,IDR/INDONIA,IDR,
EOD_MtM,4.31252,Yes,256,2017-08-01,IDR/INDONIA,IDR,
EOD_MtM,4.27611,Yes,256,2017-08-02,IDR/INDONIA,IDR,
EOD_MtM,4.32424,Yes,256,2017-08-03,IDR/INDONIA,IDR,
EOD_MtM,4.28446,Yes,256,2017-08-04,IDR/INDONIA,IDR,
EOD_MtM,4.30291,Yes,256,2017-08-07,IDR/INDONIA,IDR,
EOD_MtM,4.34011,Yes,256,2017-08-08,IDR/INDONIA,IDR,
EOD_MtM,4.27105,Yes,256,2017-08-09,IDR/INDONIA,IDR,
EOD_MtM,4.36093,Yes,256,2017-08-10,IDR/INDONIA,IDR,
EOD_MtM,4.372,Yes,256,2017-08-11,IDR/INDONIA,IDR,
EOD_MtM,4.39795,Yes,256,2017-08-14,IDR/INDONIA,IDR,
EOD_MtM,4.37904,Yes,256,2017-08-15,IDR/INDONIA,IDR,
EOD_MtM,4.35259,Yes,256,2017-08-16,IDR/INDONIA,IDR,
EOD_MtM,0,Yes,256,2017-08-17,IDR/INDONIA,IDR,
EOD_MtM,4.31682,Yes,256,2017-08-18,IDR/INDONIA,IDR,
EOD_MtM,4.38611,Yes,256,2017-08-21,IDR/INDONIA,IDR,
EOD_MtM,4.34165,Yes,256,2017-08-22,IDR/INDONIA,IDR,
EOD_MtM,4.07629,Yes,256,2017-08-23,IDR/INDONIA,IDR,
EOD_MtM,4.08411,Yes,256,2017-08-24,IDR/INDONIA,IDR,
EOD_MtM,4.05204,Yes,256,2017-08-25,IDR/INDONIA,IDR,
EOD_MtM,4.10059,Yes,256,2017-08-28,IDR/INDONIA,IDR,
EOD_MtM,4.08127,Yes,256,2017-08-29,IDR/INDONIA,IDR,
EOD_MtM,4.09352,Yes,256,2017-08-30,IDR/INDONIA,IDR,
EOD_MtM,4.06829,Yes,256,2017-08-31,IDR/INDONIA,IDR,
EOD_MtM,4.06829,Yes,256,2017-09-01,IDR/INDONIA,IDR,
EOD_MtM,4.08844,Yes,256,2017-09-04,IDR/INDONIA,IDR,
EOD_MtM,4.0435,Yes,256,2017-09-05,IDR/INDONIA,IDR,
EOD_MtM,4.06599,Yes,256,2017-09-06,IDR/INDONIA,IDR,
EOD_MtM,4.09299,Yes,256,2017-09-07,IDR/INDONIA,IDR,
EOD_MtM,4.09703,Yes,256,2017-09-08,IDR/INDONIA,IDR,
EOD_MtM,4.17837,Yes,256,2017-09-11,IDR/INDONIA,IDR,
EOD_MtM,4.13759,Yes,256,2017-09-12,IDR/INDONIA,IDR,
EOD_MtM,4.07122,Yes,256,2017-09-13,IDR/INDONIA,IDR,
EOD_MtM,4.08488,Yes,256,2017-09-14,IDR/INDONIA,IDR,
EOD_MtM,4.06376,Yes,256,2017-09-15,IDR/INDONIA,IDR,
EOD_MtM,4.15178,Yes,256,2017-09-18,IDR/INDONIA,IDR,
EOD_MtM,4.10435,Yes,256,2017-09-19,IDR/INDONIA,IDR,
EOD_MtM,4.14856,Yes,256,2017-09-20,IDR/INDONIA,IDR,
EOD_MtM,4.14856,Yes,256,2017-09-21,IDR/INDONIA,IDR,
