PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,6.92768,Yes,256,2017-01-03,IDR/JIBOR/1M,IDR,
EOD_MtM,6.6375,Yes,256,2017-01-04,IDR/JIBOR/1M,IDR,
EOD_MtM,6.27857,Yes,256,2017-01-05,IDR/JIBOR/1M,IDR,
EOD_MtM,6.09196,Yes,256,2017-01-06,IDR/JIBOR/1M,IDR,
EOD_MtM,6.01964,Yes,256,2017-01-09,IDR/JIBOR/1M,IDR,
EOD_MtM,5.97946,Yes,256,2017-01-10,IDR/JIBOR/1M,IDR,
EOD_MtM,5.95786,Yes,256,2017-01-11,IDR/JIBOR/1M,IDR,
EOD_MtM,5.92679,Yes,256,2017-01-12,IDR/JIBOR/1M,IDR,
EOD_MtM,5.90976,Yes,256,2017-01-13,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88304,Yes,256,2017-01-16,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87946,Yes,256,2017-01-17,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86875,Yes,256,2017-01-18,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83661,Yes,256,2017-01-19,IDR/JIBOR/1M,IDR,
EOD_MtM,5.82679,Yes,256,2017-01-20,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83095,Yes,256,2017-01-23,IDR/JIBOR/1M,IDR,
EOD_MtM,5.82857,Yes,256,2017-01-24,IDR/JIBOR/1M,IDR,
EOD_MtM,5.82589,Yes,256,2017-01-25,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81548,Yes,256,2017-01-26,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81191,Yes,256,2017-01-27,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8131,Yes,256,2017-01-30,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8125,Yes,256,2017-01-31,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81161,Yes,256,2017-02-01,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81071,Yes,256,2017-02-02,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81161,Yes,256,2017-02-03,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81161,Yes,256,2017-02-06,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81161,Yes,256,2017-02-07,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81191,Yes,256,2017-02-08,IDR/JIBOR/1M,IDR,
EOD_MtM,5.81548,Yes,256,2017-02-09,IDR/JIBOR/1M,IDR,
EOD_MtM,5.82976,Yes,256,2017-02-10,IDR/JIBOR/1M,IDR,
EOD_MtM,5.82232,Yes,256,2017-02-13,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84464,Yes,256,2017-02-14,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84464,Yes,256,2017-02-15,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83214,Yes,256,2017-02-16,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84821,Yes,256,2017-02-17,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84375,Yes,256,2017-02-20,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83661,Yes,256,2017-02-21,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84286,Yes,256,2017-02-22,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84702,Yes,256,2017-02-23,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8506,Yes,256,2017-02-24,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85,Yes,256,2017-02-27,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85,Yes,256,2017-02-28,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84643,Yes,256,2017-03-01,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8506,Yes,256,2017-03-02,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84464,Yes,256,2017-03-03,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84941,Yes,256,2017-03-06,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84941,Yes,256,2017-03-07,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83571,Yes,256,2017-03-08,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84286,Yes,256,2017-03-09,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83571,Yes,256,2017-03-10,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8375,Yes,256,2017-03-13,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8375,Yes,256,2017-03-14,IDR/JIBOR/1M,IDR,
EOD_MtM,5.82788,Yes,256,2017-03-15,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84554,Yes,256,2017-03-16,IDR/JIBOR/1M,IDR,
EOD_MtM,5.83929,Yes,256,2017-03-17,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84821,Yes,256,2017-03-20,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85,Yes,256,2017-03-21,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85,Yes,256,2017-03-22,IDR/JIBOR/1M,IDR,
EOD_MtM,5.84345,Yes,256,2017-03-23,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85238,Yes,256,2017-03-24,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85982,Yes,256,2017-03-27,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85982,Yes,256,2017-03-28,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85982,Yes,256,2017-03-29,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86696,Yes,256,2017-03-30,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86012,Yes,256,2017-03-31,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86786,Yes,256,2017-04-03,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86071,Yes,256,2017-04-04,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86071,Yes,256,2017-04-05,IDR/JIBOR/1M,IDR,
EOD_MtM,5.86071,Yes,256,2017-04-06,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85536,Yes,256,2017-04-07,IDR/JIBOR/1M,IDR,
EOD_MtM,5.85446,Yes,256,2017-04-10,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87857,Yes,256,2017-04-11,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87232,Yes,256,2017-04-12,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88452,Yes,256,2017-04-13,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88452,Yes,256,2017-04-14,IDR/JIBOR/1M,IDR,
EOD_MtM,5.89135,Yes,256,2017-04-17,IDR/JIBOR/1M,IDR,
EOD_MtM,5.89135,Yes,256,2017-04-18,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88462,Yes,256,2017-04-19,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88397,Yes,256,2017-04-20,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87564,Yes,256,2017-04-21,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87564,Yes,256,2017-04-24,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87436,Yes,256,2017-04-25,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87692,Yes,256,2017-04-26,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88846,Yes,256,2017-04-27,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87692,Yes,256,2017-04-28,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87692,Yes,256,2017-05-01,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88462,Yes,256,2017-05-02,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87692,Yes,256,2017-05-03,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87692,Yes,256,2017-05-04,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87692,Yes,256,2017-05-05,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88077,Yes,256,2017-05-08,IDR/JIBOR/1M,IDR,
EOD_MtM,5.87981,Yes,256,2017-05-09,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88077,Yes,256,2017-05-10,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88077,Yes,256,2017-05-11,IDR/JIBOR/1M,IDR,
EOD_MtM,5.89135,Yes,256,2017-05-12,IDR/JIBOR/1M,IDR,
EOD_MtM,5.89231,Yes,256,2017-05-15,IDR/JIBOR/1M,IDR,
EOD_MtM,5.89231,Yes,256,2017-05-16,IDR/JIBOR/1M,IDR,
EOD_MtM,5.8875,Yes,256,2017-05-17,IDR/JIBOR/1M,IDR,
EOD_MtM,5.89103,Yes,256,2017-05-18,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88462,Yes,256,2017-05-19,IDR/JIBOR/1M,IDR,
EOD_MtM,5.88462,Yes,256,2017-05-22,IDR/JIBOR/1M,IDR,
