PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,4.88036,Yes,256,2017-01-03,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84554,Yes,256,2017-01-04,IDR/JIBOR/1W,IDR,
EOD_MtM,4.82768,Yes,256,2017-01-05,IDR/JIBOR/1W,IDR,
EOD_MtM,4.81339,Yes,256,2017-01-06,IDR/JIBOR/1W,IDR,
EOD_MtM,4.80982,Yes,256,2017-01-09,IDR/JIBOR/1W,IDR,
EOD_MtM,4.80179,Yes,256,2017-01-10,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79911,Yes,256,2017-01-11,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79911,Yes,256,2017-01-12,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79929,Yes,256,2017-01-13,IDR/JIBOR/1W,IDR,
EOD_MtM,4.8,Yes,256,2017-01-16,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79929,Yes,256,2017-01-17,IDR/JIBOR/1W,IDR,
EOD_MtM,4.7975,Yes,256,2017-01-18,IDR/JIBOR/1W,IDR,
EOD_MtM,4.7925,Yes,256,2017-01-19,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79071,Yes,256,2017-01-20,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79214,Yes,256,2017-01-23,IDR/JIBOR/1W,IDR,
EOD_MtM,4.8,Yes,256,2017-01-24,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79464,Yes,256,2017-01-25,IDR/JIBOR/1W,IDR,
EOD_MtM,4.78304,Yes,256,2017-01-26,IDR/JIBOR/1W,IDR,
EOD_MtM,4.78661,Yes,256,2017-01-27,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79339,Yes,256,2017-01-30,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79696,Yes,256,2017-01-31,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79643,Yes,256,2017-02-01,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79607,Yes,256,2017-02-02,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79911,Yes,256,2017-02-03,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79911,Yes,256,2017-02-06,IDR/JIBOR/1W,IDR,
EOD_MtM,4.8,Yes,256,2017-02-07,IDR/JIBOR/1W,IDR,
EOD_MtM,4.8,Yes,256,2017-02-08,IDR/JIBOR/1W,IDR,
EOD_MtM,4.79929,Yes,256,2017-02-09,IDR/JIBOR/1W,IDR,
EOD_MtM,4.82143,Yes,256,2017-02-10,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83304,Yes,256,2017-02-13,IDR/JIBOR/1W,IDR,
EOD_MtM,4.89554,Yes,256,2017-02-14,IDR/JIBOR/1W,IDR,
EOD_MtM,4.89554,Yes,256,2017-02-15,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84554,Yes,256,2017-02-16,IDR/JIBOR/1W,IDR,
EOD_MtM,4.8575,Yes,256,2017-02-17,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87214,Yes,256,2017-02-20,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87714,Yes,256,2017-02-21,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86786,Yes,256,2017-02-22,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87143,Yes,256,2017-02-23,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85714,Yes,256,2017-02-24,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86071,Yes,256,2017-02-27,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86643,Yes,256,2017-02-28,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85714,Yes,256,2017-03-01,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86286,Yes,256,2017-03-02,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84679,Yes,256,2017-03-03,IDR/JIBOR/1W,IDR,
EOD_MtM,4.8506,Yes,256,2017-03-06,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85714,Yes,256,2017-03-07,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85179,Yes,256,2017-03-08,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86429,Yes,256,2017-03-09,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84857,Yes,256,2017-03-10,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85893,Yes,256,2017-03-13,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85393,Yes,256,2017-03-14,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84462,Yes,256,2017-03-15,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84679,Yes,256,2017-03-16,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84321,Yes,256,2017-03-17,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85214,Yes,256,2017-03-20,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87143,Yes,256,2017-03-21,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84286,Yes,256,2017-03-22,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84821,Yes,256,2017-03-23,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85,Yes,256,2017-03-24,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86429,Yes,256,2017-03-27,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86429,Yes,256,2017-03-28,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86071,Yes,256,2017-03-29,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86786,Yes,256,2017-03-30,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86071,Yes,256,2017-03-31,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85,Yes,256,2017-04-03,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85,Yes,256,2017-04-04,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85,Yes,256,2017-04-05,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85357,Yes,256,2017-04-06,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85952,Yes,256,2017-04-07,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84821,Yes,256,2017-04-10,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87732,Yes,256,2017-04-11,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86929,Yes,256,2017-04-12,IDR/JIBOR/1W,IDR,
EOD_MtM,4.88357,Yes,256,2017-04-13,IDR/JIBOR/1W,IDR,
EOD_MtM,4.88357,Yes,256,2017-04-14,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87308,Yes,256,2017-04-17,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87308,Yes,256,2017-04-18,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85769,Yes,256,2017-04-19,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83859,Yes,256,2017-04-20,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84179,Yes,256,2017-04-21,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84179,Yes,256,2017-04-24,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83308,Yes,256,2017-04-25,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83756,Yes,256,2017-04-26,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85385,Yes,256,2017-04-27,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83923,Yes,256,2017-04-28,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83923,Yes,256,2017-05-01,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84872,Yes,256,2017-05-02,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83788,Yes,256,2017-05-03,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84846,Yes,256,2017-05-04,IDR/JIBOR/1W,IDR,
EOD_MtM,4.83154,Yes,256,2017-05-05,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84654,Yes,256,2017-05-08,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85,Yes,256,2017-05-09,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84654,Yes,256,2017-05-10,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84654,Yes,256,2017-05-11,IDR/JIBOR/1W,IDR,
EOD_MtM,4.89865,Yes,256,2017-05-12,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86635,Yes,256,2017-05-15,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87923,Yes,256,2017-05-16,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86096,Yes,256,2017-05-17,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87,Yes,256,2017-05-18,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85846,Yes,256,2017-05-19,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85846,Yes,256,2017-05-22,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85846,Yes,256,2017-05-23,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84731,Yes,256,2017-05-24,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84731,Yes,256,2017-05-25,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85769,Yes,256,2017-05-26,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84288,Yes,256,2017-05-29,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87154,Yes,256,2017-05-30,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85846,Yes,256,2017-05-31,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85846,Yes,256,2017-06-01,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84885,Yes,256,2017-06-02,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84635,Yes,256,2017-06-05,IDR/JIBOR/1W,IDR,
EOD_MtM,4.87135,Yes,256,2017-06-06,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84731,Yes,256,2017-06-07,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84154,Yes,256,2017-06-08,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84154,Yes,256,2017-06-09,IDR/JIBOR/1W,IDR,
EOD_MtM,4.84981,Yes,256,2017-06-12,IDR/JIBOR/1W,IDR,
EOD_MtM,4.94231,Yes,256,2017-06-13,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85769,Yes,256,2017-06-14,IDR/JIBOR/1W,IDR,
EOD_MtM,4.86308,Yes,256,2017-06-15,IDR/JIBOR/1W,IDR,
EOD_MtM,4.85538,Yes,256,2017-06-16,IDR/JIBOR/1W,IDR,
