PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,0.72333,Yes,256,2017-01-03,USD/LIBOR/1W,USD,
EOD_MtM,0.71833,Yes,256,2017-01-04,USD/LIBOR/1W,USD,
EOD_MtM,0.71867,Yes,256,2017-01-05,USD/LIBOR/1W,USD,
EOD_MtM,0.71811,Yes,256,2017-01-06,USD/LIBOR/1W,USD,
EOD_MtM,0.71844,Yes,256,2017-01-09,USD/LIBOR/1W,USD,
EOD_MtM,0.71956,Yes,256,2017-01-10,USD/LIBOR/1W,USD,
EOD_MtM,0.71733,Yes,256,2017-01-11,USD/LIBOR/1W,USD,
EOD_MtM,0.71733,Yes,256,2017-01-12,USD/LIBOR/1W,USD,
EOD_MtM,0.72078,Yes,256,2017-01-13,USD/LIBOR/1W,USD,
EOD_MtM,0.71944,Yes,256,2017-01-16,USD/LIBOR/1W,USD,
EOD_MtM,0.72033,Yes,256,2017-01-17,USD/LIBOR/1W,USD,
EOD_MtM,0.72428,Yes,256,2017-01-18,USD/LIBOR/1W,USD,
EOD_MtM,0.724,Yes,256,2017-01-19,USD/LIBOR/1W,USD,
EOD_MtM,0.72344,Yes,256,2017-01-20,USD/LIBOR/1W,USD,
EOD_MtM,0.72206,Yes,256,2017-01-23,USD/LIBOR/1W,USD,
EOD_MtM,0.72289,Yes,256,2017-01-24,USD/LIBOR/1W,USD,
EOD_MtM,0.72344,Yes,256,2017-01-25,USD/LIBOR/1W,USD,
EOD_MtM,0.72178,Yes,256,2017-01-26,USD/LIBOR/1W,USD,
EOD_MtM,0.72011,Yes,256,2017-01-27,USD/LIBOR/1W,USD,
EOD_MtM,0.72206,Yes,256,2017-01-30,USD/LIBOR/1W,USD,
EOD_MtM,0.7215,Yes,256,2017-01-31,USD/LIBOR/1W,USD,
EOD_MtM,0.7215,Yes,256,2017-02-01,USD/LIBOR/1W,USD,
EOD_MtM,0.72056,Yes,256,2017-02-02,USD/LIBOR/1W,USD,
EOD_MtM,0.72167,Yes,256,2017-02-03,USD/LIBOR/1W,USD,
EOD_MtM,0.72222,Yes,256,2017-02-06,USD/LIBOR/1W,USD,
EOD_MtM,0.72111,Yes,256,2017-02-07,USD/LIBOR/1W,USD,
EOD_MtM,0.71972,Yes,256,2017-02-08,USD/LIBOR/1W,USD,
EOD_MtM,0.71611,Yes,256,2017-02-09,USD/LIBOR/1W,USD,
EOD_MtM,0.71417,Yes,256,2017-02-10,USD/LIBOR/1W,USD,
EOD_MtM,0.71528,Yes,256,2017-02-13,USD/LIBOR/1W,USD,
EOD_MtM,0.715,Yes,256,2017-02-14,USD/LIBOR/1W,USD,
EOD_MtM,0.71778,Yes,256,2017-02-15,USD/LIBOR/1W,USD,
EOD_MtM,0.71889,Yes,256,2017-02-16,USD/LIBOR/1W,USD,
EOD_MtM,0.71444,Yes,256,2017-02-17,USD/LIBOR/1W,USD,
EOD_MtM,0.71444,Yes,256,2017-02-20,USD/LIBOR/1W,USD,
EOD_MtM,0.71444,Yes,256,2017-02-21,USD/LIBOR/1W,USD,
EOD_MtM,0.71389,Yes,256,2017-02-22,USD/LIBOR/1W,USD,
EOD_MtM,0.71222,Yes,256,2017-02-23,USD/LIBOR/1W,USD,
EOD_MtM,0.71111,Yes,256,2017-02-24,USD/LIBOR/1W,USD,
EOD_MtM,0.71167,Yes,256,2017-02-27,USD/LIBOR/1W,USD,
EOD_MtM,0.71111,Yes,256,2017-02-28,USD/LIBOR/1W,USD,
EOD_MtM,0.71111,Yes,256,2017-03-01,USD/LIBOR/1W,USD,
EOD_MtM,0.71167,Yes,256,2017-03-02,USD/LIBOR/1W,USD,
EOD_MtM,0.71,Yes,256,2017-03-03,USD/LIBOR/1W,USD,
EOD_MtM,0.71,Yes,256,2017-03-06,USD/LIBOR/1W,USD,
EOD_MtM,0.71389,Yes,256,2017-03-07,USD/LIBOR/1W,USD,
