PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,1.31767,Yes,256,2017-01-03,USD/LIBOR/6M,USD,
EOD_MtM,1.32156,Yes,256,2017-01-04,USD/LIBOR/6M,USD,
EOD_MtM,1.321,Yes,256,2017-01-05,USD/LIBOR/6M,USD,
EOD_MtM,1.32433,Yes,256,2017-01-06,USD/LIBOR/6M,USD,
EOD_MtM,1.33156,Yes,256,2017-01-09,USD/LIBOR/6M,USD,
EOD_MtM,1.33378,Yes,256,2017-01-10,USD/LIBOR/6M,USD,
EOD_MtM,1.33461,Yes,256,2017-01-11,USD/LIBOR/6M,USD,
EOD_MtM,1.33267,Yes,256,2017-01-12,USD/LIBOR/6M,USD,
EOD_MtM,1.33156,Yes,256,2017-01-13,USD/LIBOR/6M,USD,
EOD_MtM,1.33294,Yes,256,2017-01-16,USD/LIBOR/6M,USD,
EOD_MtM,1.33239,Yes,256,2017-01-17,USD/LIBOR/6M,USD,
EOD_MtM,1.3385,Yes,256,2017-01-18,USD/LIBOR/6M,USD,
EOD_MtM,1.35156,Yes,256,2017-01-19,USD/LIBOR/6M,USD,
EOD_MtM,1.35822,Yes,256,2017-01-20,USD/LIBOR/6M,USD,
EOD_MtM,1.35239,Yes,256,2017-01-23,USD/LIBOR/6M,USD,
EOD_MtM,1.34572,Yes,256,2017-01-24,USD/LIBOR/6M,USD,
EOD_MtM,1.35683,Yes,256,2017-01-25,USD/LIBOR/6M,USD,
EOD_MtM,1.36183,Yes,256,2017-01-26,USD/LIBOR/6M,USD,
EOD_MtM,1.35878,Yes,256,2017-01-27,USD/LIBOR/6M,USD,
EOD_MtM,1.35656,Yes,256,2017-01-30,USD/LIBOR/6M,USD,
EOD_MtM,1.34739,Yes,256,2017-01-31,USD/LIBOR/6M,USD,
EOD_MtM,1.35044,Yes,256,2017-02-01,USD/LIBOR/6M,USD,
EOD_MtM,1.34878,Yes,256,2017-02-02,USD/LIBOR/6M,USD,
EOD_MtM,1.34989,Yes,256,2017-02-03,USD/LIBOR/6M,USD,
EOD_MtM,1.34406,Yes,256,2017-02-06,USD/LIBOR/6M,USD,
EOD_MtM,1.3435,Yes,256,2017-02-07,USD/LIBOR/6M,USD,
EOD_MtM,1.33794,Yes,256,2017-02-08,USD/LIBOR/6M,USD,
EOD_MtM,1.33489,Yes,256,2017-02-09,USD/LIBOR/6M,USD,
EOD_MtM,1.33822,Yes,256,2017-02-10,USD/LIBOR/6M,USD,
EOD_MtM,1.33794,Yes,256,2017-02-13,USD/LIBOR/6M,USD,
EOD_MtM,1.33656,Yes,256,2017-02-14,USD/LIBOR/6M,USD,
EOD_MtM,1.34406,Yes,256,2017-02-15,USD/LIBOR/6M,USD,
EOD_MtM,1.36378,Yes,256,2017-02-16,USD/LIBOR/6M,USD,
EOD_MtM,1.35739,Yes,256,2017-02-17,USD/LIBOR/6M,USD,
EOD_MtM,1.35711,Yes,256,2017-02-20,USD/LIBOR/6M,USD,
EOD_MtM,1.36239,Yes,256,2017-02-21,USD/LIBOR/6M,USD,
EOD_MtM,1.36294,Yes,256,2017-02-22,USD/LIBOR/6M,USD,
EOD_MtM,1.36239,Yes,256,2017-02-23,USD/LIBOR/6M,USD,
