PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,0.69544,Yes,256,2017-01-03,USD/LIBOR/ON,USD,
EOD_MtM,0.69044,Yes,256,2017-01-04,USD/LIBOR/ON,USD,
EOD_MtM,0.69222,Yes,256,2017-01-05,USD/LIBOR/ON,USD,
EOD_MtM,0.691,Yes,256,2017-01-06,USD/LIBOR/ON,USD,
EOD_MtM,0.693,Yes,256,2017-01-09,USD/LIBOR/ON,USD,
EOD_MtM,0.69333,Yes,256,2017-01-10,USD/LIBOR/ON,USD,
EOD_MtM,0.69278,Yes,256,2017-01-11,USD/LIBOR/ON,USD,
EOD_MtM,0.69278,Yes,256,2017-01-12,USD/LIBOR/ON,USD,
EOD_MtM,0.69278,Yes,256,2017-01-13,USD/LIBOR/ON,USD,
EOD_MtM,0.69278,Yes,256,2017-01-16,USD/LIBOR/ON,USD,
EOD_MtM,0.69,Yes,256,2017-01-17,USD/LIBOR/ON,USD,
EOD_MtM,0.68944,Yes,256,2017-01-18,USD/LIBOR/ON,USD,
EOD_MtM,0.69,Yes,256,2017-01-19,USD/LIBOR/ON,USD,
EOD_MtM,0.68833,Yes,256,2017-01-20,USD/LIBOR/ON,USD,
EOD_MtM,0.68889,Yes,256,2017-01-23,USD/LIBOR/ON,USD,
EOD_MtM,0.68833,Yes,256,2017-01-24,USD/LIBOR/ON,USD,
EOD_MtM,0.68833,Yes,256,2017-01-25,USD/LIBOR/ON,USD,
EOD_MtM,0.68722,Yes,256,2017-01-26,USD/LIBOR/ON,USD,
EOD_MtM,0.69,Yes,256,2017-01-27,USD/LIBOR/ON,USD,
EOD_MtM,0.69167,Yes,256,2017-01-30,USD/LIBOR/ON,USD,
EOD_MtM,0.69,Yes,256,2017-01-31,USD/LIBOR/ON,USD,
EOD_MtM,0.69111,Yes,256,2017-02-01,USD/LIBOR/ON,USD,
EOD_MtM,0.68833,Yes,256,2017-02-02,USD/LIBOR/ON,USD,
EOD_MtM,0.69278,Yes,256,2017-02-03,USD/LIBOR/ON,USD,
EOD_MtM,0.68833,Yes,256,2017-02-06,USD/LIBOR/ON,USD,
EOD_MtM,0.68778,Yes,256,2017-02-07,USD/LIBOR/ON,USD,
EOD_MtM,0.68667,Yes,256,2017-02-08,USD/LIBOR/ON,USD,
EOD_MtM,0.68667,Yes,256,2017-02-09,USD/LIBOR/ON,USD,
EOD_MtM,0.68778,Yes,256,2017-02-10,USD/LIBOR/ON,USD,
EOD_MtM,0.68722,Yes,256,2017-02-13,USD/LIBOR/ON,USD,
EOD_MtM,0.68722,Yes,256,2017-02-14,USD/LIBOR/ON,USD,
EOD_MtM,0.68556,Yes,256,2017-02-15,USD/LIBOR/ON,USD,
EOD_MtM,0.68611,Yes,256,2017-02-16,USD/LIBOR/ON,USD,
EOD_MtM,0.68611,Yes,256,2017-02-17,USD/LIBOR/ON,USD,
EOD_MtM,0.68611,Yes,256,2017-02-20,USD/LIBOR/ON,USD,
EOD_MtM,0.68611,Yes,256,2017-02-21,USD/LIBOR/ON,USD,
EOD_MtM,0.68333,Yes,256,2017-02-22,USD/LIBOR/ON,USD,
EOD_MtM,0.68333,Yes,256,2017-02-23,USD/LIBOR/ON,USD,
