PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
EOD_MtM,2.4421,Yes,256,2019-01-03,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4331,Yes,256,2019-01-04,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4361,Yes,256,2019-01-07,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4392,Yes,256,2019-01-08,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4581,Yes,256,2019-01-09,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4677,Yes,256,2019-01-10,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4645,Yes,256,2019-01-11,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4602,Yes,256,2019-01-14,USD/TERMSOFR/6M,USD,
EOD_MtM,2.466,Yes,256,2019-01-15,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4619,Yes,256,2019-01-16,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4625,Yes,256,2019-01-17,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4674,Yes,256,2019-01-18,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4674,Yes,256,2019-01-21,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4795,Yes,256,2019-01-22,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4754,Yes,256,2019-01-23,USD/TERMSOFR/6M,USD,
EOD_MtM,2.477,Yes,256,2019-01-24,USD/TERMSOFR/6M,USD,
EOD_MtM,2.477,Yes,256,2019-01-25,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4808,Yes,256,2019-01-28,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4734,Yes,256,2019-01-29,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4716,Yes,256,2019-01-30,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4706,Yes,256,2019-01-31,USD/TERMSOFR/6M,USD,
EOD_MtM,2.454,Yes,256,2019-02-01,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4519,Yes,256,2019-02-04,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4564,Yes,256,2019-02-05,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4561,Yes,256,2019-02-06,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4565,Yes,256,2019-02-07,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4529,Yes,256,2019-02-08,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4495,Yes,256,2019-02-11,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4545,Yes,256,2019-02-12,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4564,Yes,256,2019-02-13,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4616,Yes,256,2019-02-14,USD/TERMSOFR/6M,USD,
EOD_MtM,2.458,Yes,256,2019-02-15,USD/TERMSOFR/6M,USD,
EOD_MtM,2.458,Yes,256,2019-02-18,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4613,Yes,256,2019-02-19,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4556,Yes,256,2019-02-20,USD/TERMSOFR/6M,USD,
EOD_MtM,2.453,Yes,256,2019-02-21,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4576,Yes,256,2019-02-22,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4542,Yes,256,2019-02-25,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4564,Yes,256,2019-02-26,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4557,Yes,256,2019-02-27,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4573,Yes,256,2019-02-28,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4629,Yes,256,2019-03-01,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4668,Yes,256,2019-03-04,USD/TERMSOFR/6M,USD,
EOD_MtM,2.464,Yes,256,2019-03-05,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4603,Yes,256,2019-03-06,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4524,Yes,256,2019-03-07,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4415,Yes,256,2019-03-08,USD/TERMSOFR/6M,USD,
EOD_MtM,2.436,Yes,256,2019-03-11,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4355,Yes,256,2019-03-12,USD/TERMSOFR/6M,USD,
EOD_MtM,2.434,Yes,256,2019-03-13,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4336,Yes,256,2019-03-14,USD/TERMSOFR/6M,USD,
EOD_MtM,2.431,Yes,256,2019-03-15,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4249,Yes,256,2019-03-18,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4249,Yes,256,2019-03-19,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4216,Yes,256,2019-03-20,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4279,Yes,256,2019-03-21,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4335,Yes,256,2019-03-22,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4145,Yes,256,2019-03-25,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3933,Yes,256,2019-03-26,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3953,Yes,256,2019-03-27,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3787,Yes,256,2019-03-28,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3813,Yes,256,2019-03-29,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3799,Yes,256,2019-04-01,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3888,Yes,256,2019-04-02,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3884,Yes,256,2019-04-03,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3973,Yes,256,2019-04-04,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4013,Yes,256,2019-04-05,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4105,Yes,256,2019-04-08,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4092,Yes,256,2019-04-09,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4105,Yes,256,2019-04-10,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4052,Yes,256,2019-04-11,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4137,Yes,256,2019-04-12,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4155,Yes,256,2019-04-15,USD/TERMSOFR/6M,USD,
EOD_MtM,2.419,Yes,256,2019-04-16,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4189,Yes,256,2019-04-17,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4269,Yes,256,2019-04-18,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4269,Yes,256,2019-04-19,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4304,Yes,256,2019-04-22,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4268,Yes,256,2019-04-23,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4189,Yes,256,2019-04-24,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4019,Yes,256,2019-04-25,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4058,Yes,256,2019-04-26,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3973,Yes,256,2019-04-29,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4013,Yes,256,2019-04-30,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3958,Yes,256,2019-05-01,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3932,Yes,256,2019-05-02,USD/TERMSOFR/6M,USD,
EOD_MtM,2.4128,Yes,256,2019-05-03,USD/TERMSOFR/6M,USD,
EOD_MtM,2.411,Yes,256,2019-05-06,USD/TERMSOFR/6M,USD,
EOD_MtM,2.396,Yes,256,2019-05-07,USD/TERMSOFR/6M,USD,
EOD_MtM,2.395,Yes,256,2019-05-08,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3967,Yes,256,2019-05-09,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3863,Yes,256,2019-05-10,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3782,Yes,256,2019-05-13,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3545,Yes,256,2019-05-14,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3526,Yes,256,2019-05-15,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3453,Yes,256,2019-05-16,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3596,Yes,256,2019-05-17,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3606,Yes,256,2019-05-20,USD/TERMSOFR/6M,USD,
EOD_MtM,2.369,Yes,256,2019-05-21,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3803,Yes,256,2019-05-22,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3842,Yes,256,2019-05-23,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3664,Yes,256,2019-05-24,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3664,Yes,256,2019-05-27,USD/TERMSOFR/6M,USD,
EOD_MtM,2.3722,Yes,256,2019-05-28,USD/TERMSOFR/6M,USD,
