USERPROFILE,PROFILECOMPONENT,,,,,,,/PROFILECOMPONENT,/USERPROFILE
PROFID,ALLOW_AUTHORIZE,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,FUNCS,,
ALL_COMPONENTS,,,,,Accounting Parameters,Application,,,
,,,,,Information Manager,Application,,,
,,,,,Batch Report,Application,,,
,,,,,Party Definition,Application,,,
,,,,,Issuer Definition,Application,,,
,,,,,Account Definition,Application,,,
,,,,,Bond,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Broker Fee Rate,Application,,,
,,,,,Calendar,Application,,,
,,,,,Calculation Trace,Application,,,
,,,,,Cap,Application,Trading/&IR,,
,,,,,Cash Flow Table,Application,,,
,,,,,Cash Flow Engineering,Application,Trading/&IR,,
,,,,,CD,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Choice List,Application,,,
,,,,,Currency,Application,,,
,,,,,Select Deliverables,Application,,,
,,,,,Deposit/Loan,Application,Trading/&IR,,
,,,,,Price Entry,Application,,,
,,,,,Price Link Specification,Application,,,
,,,,,Trade Manager,Application,,,
,,,,,Page Definition,Application,,,
,,,,,Floor,Application,Trading/&IR,,
,,,,,Future/Forward,Application,"Trading/E&quity,Trading/&IR,Trading/&Credit,Trading/&FX,Trading/C&ommodity",,
,,,,,FRA,Application,Trading/&IR,,
,,,,,FRN,Application,"Trading/&IR,Trading/&Credit",,
,,,,,CLN,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Curr Swap,Application,Trading/&IR,,
,,,,,FX Swap Instrument,Application,Trading/&FX,,
,,,,,Equity Index,Application,Trading/E&quity,,
,,,,,Valuation Parameters,Application,,,
,,,,,Instrument Definition,Application,,,
,,,,,Swap,Application,Trading/&IR,,
,,,,,Client/Server Monitor,Application,,,
,,,,,Connected Users,Application,,,
,,,,,Send Message,Application,,,
,,,,,Yield Curve Calculation,Application,,,
,,,,,Yield Curve Definition,Application,,,
,,,,,Bill,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Zero Bond,Application,"Trading/&IR,Trading/&Credit",,
,,,,,Option,Application,"Trading/E&quity,Trading/&IR,Trading/&Credit,Trading/&FX,Trading/C&ommodity",,
,,,,,Interest Risk Analysis,Application,,,
,,,,,Trade Filter,Application,,,
