USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BBM Instrument,BBM_INS,,,Bill,Application,,
,,,,Bond,Application,,
,,,,Commodity,Application,,
,,,,Curr Swap,Application,,
,,,,FRA,Application,,
,,,,FRN,Application,,
,,,,Fund,Application,,
,,,,Future/Forward,Application,,
,,,,FX Cash,Application,,
,,,,FX Option,Application,,
,,,,Option,Application,,
,,,,Swap,Application,,
,,Yes,Yes,Bill,DBObject,,
,,Yes,Yes,Bond,DBObject,,
,,Yes,Yes,Commodity,DBObject,,
,,Yes,Yes,CurrSwap,DBObject,,
,,Yes,Yes,DealPackage,DBObject,,
,,Yes,Yes,FRA,DBObject,,
,,Yes,Yes,FRN,DBObject,,
,,Yes,Yes,Fund,DBObject,,
,,Yes,Yes,Future/Forward,DBObject,,
,,Yes,Yes,Fx Forward Rate,DBObject,,
,,Yes,Yes,Fx Rate,DBObject,,
,,Yes,Yes,FxSwap,DBObject,,
,,Yes,Yes,MBS/ABS,DBObject,,
,,Yes,Yes,Option,DBObject,,
,,Yes,Yes,Swap,DBObject,,
,,,,Collateral,DBObject,,
,,,,CashCollateral,DBObject,,
,,,,MBS/ABS,Application,,
,,,,Deposit/Loan,Application,,
,,,,Cash Payment,Application,,
,,,,Base Yield Curve Def,Application,,
,,,,FX Rate,Application,,
