USERPROFILE,,PROFILECOMPONENT,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,COMPNBR.COMPNAME,COMPNBR.TYPE,,
Back Office Application Profile,BO_APP,Valuation Viewer,Application,,
,,Valuation Parameters,Application,,
,,Transaction History,Application,,
,,Trade Filter,Application,,
,,Time Series Specification,Application,,
,,Time Series Dv Spec,Application,,
,,Time Series Data,Application,,
,,Tiering Category,Application,,
,,Task Management,Application,,
,,Swap,Application,,
,,Stored Column,Application,,
,,State Chart Viewer,Application,,
,,State Chart,Application,,
,,Sheet File Viewer,Application,,
,,Settlement Process,Application,,
,,Settle Instruction,Application,,
,,Session Control,Application,,
,,Send Message,Application,,
,,Send As Message...,Application,,
,,Security Transfer,Application,,
,,Save As...,Application,,
,,Save,Application,,
,,Run Script,Application,,
,,Run Query,Application,,
,,Routing,Application,,
,,Rounding,Application,,
,,Ribbon Designer,Application,,
,,Repo/Reverse,Application,,
,,Remote Valuation Viewer,Application,,
,,Receive Message,Application,,
,,Rate Index,Application,,
,,Quote Monitor,Application,,
,,Quit,Application,,
,,Price Link Specification,Application,,
,,Price Finding,Application,,
,,Price Entry,Application,,
,,Position Administration,Application,,
,,Portfolio Definitions,Application,,
,,Portfolio Definition,Application,,
,,Party Groups,Application,,
,,Party Definition,Application,,
,,Party Alias,Application,,
,,Page Definition,Application,,
,,Operations Viewer,Application,,
,,Operations Manager,Application,,
,,Operation Specification,Application,,
,,Old Price Monitor,Application,,
,,Open...,Application,,
,,NDF,Application,,
,,Master Agreement,Application,,
,,Manage Ael Task Schedule,Application,,
,,Issuer Definition,Application,,
,,Instrument Definition,Application,,
,,Insert Items,Application,,
,,Information Manager,Application,,
,,Information,Application,,
,,Hierarchy Editor Application,Application,,
,,FX Swap Instrument,Application,,
,,FX Rate,Application,,
,,FX Cash,Application,,
,,Future/Forward,Application,,
,,FRN,Application,,
,,FRA,Application,,
,,Four Eyes Control,Application,,
,,Floor,Application,,
,,Flexi Bond,Application,,
,,Fixing Date Rule,Application,,
,,Explorer,Application,,
,,Engineering Trade,Application,,
,,Deposit/Loan,Application,,
,,Delete...,Application,,
,,Delete,Application,,
,,Data Source Viewer,Application,,
,,Data Source Administration,Application,,
,,Currency,Application,,
,,Curr Swap,Application,,
,,Contact,Application,,
,,Connected Trades Viewer,Application,,
,,Confirmation Instruction,Application,,
,,Collateral Agreements,Application,,
,,Collateral,Application,,
,,Choice List,Application,,
,,Charges,Application,,
,,Cap,Application,,
,,Call Deposit/Loan,Application,,
,,Calendar,Application,,
,,Business Process Details,Application,,
,,Business Intelligence Workbench,Application,,
,,Business Data Processing,Application,,
,,Bond,Application,,
,,Bill,Application,,
,,Basket Repo/Reverse Legacy,Application,,
,,Arena Extract,Application,,
,,Allocation Fees,Application,,
,,Allocation,Application,,
,,Alias Type Specification,Application,,
,,Alias,Application,,
,,Agreement,Application,,
,,AEF Browser,Application,,
,,Administration Console,Application,,
,,Accounting Parameters,Application,,
,,Accounting,Application,,
,,About...,Application,,
,,DataLoader,Application,,
,,Additional Info Specification,Application,,
,,Account Definition,Application,,
,,Trading Manager,Application,,
,,Trade Status Specification,Application,,
,,Trade Report,Application,,
,,Fill Fees,Application,,
,,External Applications,Application,,
,,CD,Application,,
,,Cash Payment,Application,,
,,Cash Flow Engineering,Application,,
,,Netting Rule Definition,Application,,
,,User Preferences,Application,,
