USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO base workflow,BO_BASE_SET,,,,Access database SQL,Operation,,
,,,,,Account Adjustment,Operation,,
,,,,,Account Transfer,Operation,,
,,,,,Adjust Journal DR CR Pair,Operation,,
,,,,,Adjust Security Value Day,Operation,,
,,,,,BO Confirm,Operation,,
,,,,,BO Reject,Operation,,
,,,,,BO-BO Confirm,Operation,,
,,,,,Bulk Upload of Manual Journals,Operation,,
,,,,,Bypass Release Restriction,Operation,,
,,,,,Bypass Value Day Check,Operation,,
,,,,,Close Settlement,Operation,,
,,,,,Close Settlement Balance,Operation,,
,,,,,Compensation Claim,Operation,,
,,,,,Compensation Payment,Operation,,
,,,,,Confirm Void,Operation,,
,,,,,Confirmation Regenerate,Operation,,
,,,,,Confirmation Resubmit NAK,Operation,,
,,,,,Create Settlement Balance,Operation,,
,,,,,Create Standalone Journal,Operation,,
,,,,,Decrease nominal,Operation,,
,,,,,Delete BO Confirmed,Operation,,
,,,,,Demote Confirmation,Operation,,
,,,,,Edit Fixings,Operation,,
,,,,,Edit MTM Prices,Operation,,
,,,,,Edit Prices,Operation,,
,,,,,Edit Print Preview,Operation,,
,,,,,Edit Settlements,Operation,,
,,,,,Edit Simulated Journal,Operation,,
,,,,,Force Business Process to State,Operation,,
,,,,,Fund Transfer,Operation,,
,,,,,Hold Confirmation,Operation,,
,,,,,Increase nominal,Operation,,
,,,,,Instruct To Cancel,Operation,,
,,,,,Instruct To Correct,Operation,,
,,,,,Instructed To Cancel,Operation,,
,,,,,Manually Adjust Payment,Operation,,
,,,,,Mark to Market,Operation,,
,,,,,Match Confirmation,Operation,,
,,,,,Matching Failed Confirmation,Operation,,
,,,,,Modify BO Part,Operation,,
,,,,,Modify Confirmed,Operation,,
,,,,,Modify FO,Operation,,
,,,,,Modify Internal,Operation,,
,,,,,Net Payments,Operation,,
,,,,,Pair Off Securities,Operation,,
,,,,,Partial Match Confirmation,Operation,,
,,,,,Partial Settlement,Operation,,
,,,,,Pay Fair Value,Operation,,
,,,,,Pay Good Value,Operation,,
,,,,,Perform Extend Open End,Operation,,
,,,,,Regenerate Settlement Trade,Operation,,
,,,,,Release Confirmation,Operation,,
,,,,,Release Confirmation Exception,Operation,,
,,,,,Release Settlement,Operation,,
,,,,,Resend,Operation,,
,,,,,Resubmit,Operation,,
,,,,,Run Script,Operation,,
,,,,,Send Confirmation Chaser,Operation,,
,,,,,Settlement Regenerate,Operation,,
,,,,,Settlement Resubmit NAK,Operation,,
,,,,,Sign-Off Confirmation,Operation,,
,,,,,Standalone Settlement,Operation,,
,,,,,Split Payment,Operation,,
,,,,,Suppress Message,Operation,,
,,,,,Sett Suppress Message Ack,Operation,,
,,,,,Conf Suppress Message Ack,Operation,,
,,,,,Void Confirmation,Operation,,
,,,,,Void Deal,Operation,,
,,,,,Void Settlement,Operation,,
,,,,,Void Settlement Balance,Operation,,
,,Yes,Yes,Yes,AccInstructionMapping,DBObject,,
,,Yes,Yes,Yes,AccountingInstruction,DBObject,,
,,Yes,Yes,Yes,AggregationRule,DBObject,,
,,Yes,Yes,Yes,Basket Repo/Reverse Legacy,DBObject,,
,,Yes,Yes,Yes,Bill,DBObject,,
,,Yes,Yes,Yes,Bond,DBObject,,
,,Yes,Yes,Yes,BusinessEvent,DBObject,,
,,Yes,Yes,Yes,BusinessProcess,DBObject,,
,,Yes,Yes,Yes,CalcColumn,DBObject,,
,,Yes,Yes,Yes,CalcRow,DBObject,,
,,Yes,Yes,Yes,Calendar,DBObject,,
,,Yes,Yes,Yes,CallAccount,DBObject,,
,,Yes,Yes,Yes,Cap,DBObject,,
,,Yes,Yes,Yes,CashCollateral,DBObject,,
,,Yes,Yes,Yes,CD,DBObject,,
,,Yes,Yes,Yes,ChangeRequest,DBObject,,
,,Yes,Yes,Yes,Collateral,DBObject,,
,,Yes,Yes,Yes,CollateralAgreement,DBObject,,
,,Yes,Yes,Yes,Component,DBObject,,
,,Yes,Yes,Yes,ComponentLink,DBObject,,
,,Yes,Yes,Yes,ConditionFilterList,DBObject,,
,,Yes,Yes,Yes,ConditionalValueModel,DBObject,,
,,Yes,Yes,Yes,ConfigurationParameter,DBObject,,
,,Yes,Yes,Yes,Confirmation,DBObject,,
,,Yes,Yes,Yes,Curr,DBObject,,
,,Yes,Yes,Yes,CurrencyPair,DBObject,,
,,Yes,Yes,Yes,CurrSwap,DBObject,,
,,Yes,Yes,Yes,Depositary Receipt,DBObject,,
,,Yes,Yes,Yes,Extension Module,DBObject,,
,,Yes,Yes,Yes,ExternalObject,DBObject,,
,,Yes,Yes,Yes,FixingDateRule,DBObject,,
,,Yes,Yes,Yes,Flexi Bond,DBObject,,
,,Yes,Yes,Yes,Floor,DBObject,,
,,Yes,Yes,Yes,FRA,DBObject,,
,,Yes,Yes,Yes,FreeDefCF,DBObject,,
,,Yes,Yes,Yes,FRN,DBObject,,
,,Yes,Yes,Yes,FundingParameters,DBObject,,
,,Yes,Yes,Yes,FundingRatesLink,DBObject,,
,,Yes,Yes,Yes,FundingRatesSpec,DBObject,,
,,Yes,Yes,Yes,Future/Forward,DBObject,,
