USERPROFILE,,PROFILECOMPONENT,,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_AUTHORIZE,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Data Static Checker,BO_DATASTATIC_CHECK,,,,,Accounting,Application,,
,,,,,,Accounting Parameters,Application,,
,,,,,,Additional Info Specification,Application,,
,,,,,,Confirmation Instruction,Application,,
,,,,,,Price Entry,Application,,
,,,,,,Price Finding,Application,,
,,,,,,Price Link Specification,Application,,
,,,,,,Pricing,Application,,
,,,,,,Valuation Viewer,Application,,
,,,,,,Bulk Upload of Manual Journals,Operation,,
,,,,,,Edit MTM Prices,Operation,,
,,,,,,Edit Prices,Operation,,
,,,,,,Edit Simulated Journal,Operation,,
,,,,,,Mark to Market,Operation,,
,,,,,,Regenerate Journal Settlement,Operation,,
,,,,,,Regenerate Journal Trade,Operation,,
,,Yes,Yes,Yes,Yes,AccInstructionMapping,DBObject,,
,,Yes,Yes,Yes,Yes,AccountingInstruction,DBObject,,
,,Yes,Yes,Yes,Yes,AccountingParameters,DBObject,,
,,Yes,Yes,Yes,Yes,Calendar,DBObject,,
,,,Yes,Yes,Yes,ChoiceList,DBObject,,
,,Yes,Yes,Yes,Yes,InstrAliasType,DBObject,,
,,Yes,Yes,Yes,Yes,Journal,DBObject,,
,,Yes,Yes,Yes,Yes,JournalHst,DBObject,,
,,Yes,Yes,Yes,Yes,JournalInformation,DBObject,,
,,Yes,Yes,Yes,Yes,JournalInformationHst,DBObject,,
,,Yes,Yes,Yes,Yes,JournalLink,DBObject,,
,,,,,Yes,MtmValue,DBObject,,
,,Yes,Yes,Yes,Yes,Party,DBObject,,
,,Yes,Yes,Yes,Yes,PartyGroup,DBObject,,
,,,Yes,Yes,Yes,PriceLinkDefinition,DBObject,,
,,,Yes,Yes,Yes,SettleInstrMapping,DBObject,,
,,,Yes,Yes,Yes,TAccount,DBObject,,
,,,Yes,Yes,Yes,TAccountAllocLink,DBObject,,
,,,Yes,Yes,Yes,TAccountMapping,DBObject,,
,,,Yes,Yes,Yes,ValuationParameters,DBObject,,
,,Yes,Yes,Yes,Yes,Curr,DBObject,,
