USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Data Static Maker,BO_DATASTATIC_MAKER,Yes,Yes,Yes,ValuationParameters,DBObject,,
,,,,,Create Standalone Journal,Operation,,
,,Yes,Yes,Yes,TAccountMapping,DBObject,,
,,Yes,Yes,Yes,TAccountAllocLink,DBObject,,
,,Yes,Yes,Yes,TAccount,DBObject,,
,,Yes,Yes,Yes,SettleInstrMapping,DBObject,,
,,Yes,Yes,Yes,PriceLinkDefinition,DBObject,,
,,Yes,Yes,Yes,PartyGroup,DBObject,,
,,Yes,Yes,Yes,Party,DBObject,,
,,,,Yes,MtmValue,DBObject,,
,,Yes,Yes,Yes,JournalLink,DBObject,,
,,Yes,Yes,Yes,JournalInformationHst,DBObject,,
,,Yes,Yes,Yes,JournalInformation,DBObject,,
,,Yes,Yes,Yes,JournalHst,DBObject,,
,,Yes,Yes,Yes,Journal,DBObject,,
,,Yes,Yes,Yes,InstrAliasType,DBObject,,
,,Yes,Yes,Yes,ChoiceList,DBObject,,
,,Yes,Yes,Yes,Calendar,DBObject,,
,,Yes,Yes,Yes,AccountingParameters,DBObject,,
,,Yes,Yes,Yes,AccountingInstruction,DBObject,,
,,Yes,Yes,Yes,AccInstructionMapping,DBObject,,
,,,,,Regenerate Journal Trade,Operation,,
,,,,,Regenerate Journal Settlement,Operation,,
,,,,,Mark to Market,Operation,,
,,,,,Edit Prices,Operation,,
,,,,,Edit MTM Prices,Operation,,
,,,,,Bulk Upload of Manual Journals,Operation,,
,,,,,Valuation Viewer,Application,,
,,,,,Pricing,Application,,
,,,,,Price Link Specification,Application,,
,,,,,Price Finding,Application,,
,,,,,Price Entry,Application,,
,,,,,Confirmation Instruction,Application,,
,,,,,Additional Info Specification,Application,,
,,,,,Accounting Parameters,Application,,
,,,,,Accounting,Application,,
