USERPROFILE,,PROFILECOMPONENT,,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_AUTHORIZE,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Trade Checker,BO_TRCHECKER,,Yes,,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,Yes,Settlement,DBObject,,
,,,Yes,Yes,Yes,FixingDateRule,DBObject,,
,,Yes,Yes,Yes,Yes,Confirmation,DBObject,,
,,,,,,Void Settlement,Operation,,
,,,,,,Void Deal,Operation,,
,,,,,,Void Confirmation,Operation,,
,,,,,,Suppress Message,Operation,,
,,,,,,Standalone Settlement,Operation,,
,,,,,,Split Payment,Operation,,
,,,,,,Sign-Off Confirmation,Operation,,
,,,,,,Settlement Resubmit NAK,Operation,,
,,,,,,Settlement Regenerate,Operation,,
,,,,,,Send Confirmation Chaser,Operation,,
,,,,,,Resubmit,Operation,,
,,,,,,Resend,Operation,,
,,,,,,Release Settlement,Operation,,
,,,,,,Release Confirmation Exception,Operation,,
,,,,,,Release Confirmation,Operation,,
,,,,,,Regenerate Settlement Trade,Operation,,
,,,,,,Pay Good Value,Operation,,
,,,,,,Pay Fair Value,Operation,,
,,,,,,Partial Settlement,Operation,,
,,,,,,Partial Match Confirmation,Operation,,
,,,,,,Pair Off Securities,Operation,,
,,,,,,Net Securities,Operation,,
,,,,,,Net Payments,Operation,,
,,,,,,Modify BO Part,Operation,,
,,,,,,Manually Adjust Payment,Operation,,
,,,,,,Instructed To Cancel,Operation,,
,,,,,,Instruct To Correct,Operation,,
,,,,,,Instruct To Cancel,Operation,,
,,,,,,Fund Transfer,Operation,,
,,,,,,Edit Settlements,Operation,,
,,,,,,Edit Fixings,Operation,,
,,,,,,Demote Confirmation,Operation,,
,,,,,,Delete BO Confirmed,Operation,,
,,,,,,Confirmation Resubmit NAK,Operation,,
,,,,,,Confirmation Regenerate,Operation,,
,,,,,,Confirm Void,Operation,,
,,,,,,Compensation Payment,Operation,,
,,,,,,Compensation Claim,Operation,,
,,,,,,Close Settlement,Operation,,
,,,,,,Bypass Value Day Check,Operation,,
,,,,,,Bypass Release Restriction,Operation,,
,,,,,,BO-BO Confirm,Operation,,
,,,,,,BO Reject,Operation,,
,,,,,,BO Confirm,Operation,,
,,,,,,Account Transfer,Operation,,
,,,,,,Accept Settlement Updates,Operation,,
,,,,,,Fixing Date Rule,Application,,
,,Yes,Yes,Yes,Yes,AccountingParameters,DBObject,,
,,Yes,Yes,Yes,Yes,AccountingInstruction,DBObject,,
,,Yes,Yes,Yes,Yes,AccInstructionMapping,DBObject,,
,,Yes,Yes,Yes,Yes,Bond,DBObject,,
