USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Trade Maker,BO_TRMAKER,Yes,,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,Settlement,DBObject,,
,,Yes,Yes,Yes,FixingDateRule,DBObject,,
,,Yes,Yes,Yes,Confirmation,DBObject,,
,,,,,Void Settlement,Operation,,
,,,,,Void Confirmation,Operation,,
,,,,,Suppress Message,Operation,,
,,,,,Standalone Settlement,Operation,,
,,,,,Split Payment,Operation,,
,,,,,Settlement Resubmit NAK,Operation,,
,,,,,Settlement Regenerate,Operation,,
,,,,,Send Confirmation Chaser,Operation,,
,,,,,Resubmit,Operation,,
,,,,,Resend,Operation,,
,,,,,Release Settlement,Operation,,
,,,,,Release Confirmation Exception,Operation,,
,,,,,Release Confirmation,Operation,,
,,,,,Pay Good Value,Operation,,
,,,,,Pay Fair Value,Operation,,
,,,,,Partial Settlement,Operation,,
,,,,,Partial Match Confirmation,Operation,,
,,,,,Modify Confirmed,Operation,,
,,,,,Modify BO Part,Operation,,
,,,,,Manually Adjust Payment,Operation,,
,,,,,Instructed To Cancel,Operation,,
,,,,,Instruct To Correct,Operation,,
,,,,,Instruct To Cancel,Operation,,
,,,,,Hold Confirmation,Operation,,
,,,,,Fund Transfer,Operation,,
,,,,,Edit Settlements,Operation,,
,,,,,Edit Fixings,Operation,,
,,,,,Confirmation Resubmit NAK,Operation,,
,,,,,Confirmation Regenerate,Operation,,
,,,,,Compensation Payment,Operation,,
,,,,,Compensation Claim,Operation,,
,,,,,BO Reject,Operation,,
,,,,,BO Confirm,Operation,,
,,,,,Account Transfer,Operation,,
,,,,,Fixing Date Rule,Application,,
