USERPROFILE,,PROFILECOMPONENT,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,COMPNBR.COMPNAME,COMPNBR.TYPE,,
Front Office Applications,FO_APP,AEF Browser,Application,,
,,About...,Application,,
,,Base Yield Curve Def,Application,,
,,Business Intelligence Workbench,Application,,
,,Business Process Details,Application,,
,,Calendar,Application,,
,,Cash Flow Table,Application,,
,,Cash Payment,Application,,
,,Collateral,Application,,
,,Collateral Agreements,Application,,
,,Compact Trade Entry,Application,,
,,Connected Trades Viewer,Application,,
,,Corporate Actions,Application,,
,,Currency Pair,Application,,
,,Data Source Viewer,Application,,
,,Explorer,Application,,
,,Hierarchy Editor Application,Application,,
,,Information Manager,Application,,
,,Insert Items,Application,,
,,Instrument Definition,Application,,
,,Issuer Definition,Application,,
,,Make Collateral,Application,,
,,Make Curr Swap,Application,,
,,Make Swap,Application,,
,,Open...,Application,,
,,Operations Manager,Application,,
,,Operations Viewer,Application,,
,,Page Definition,Application,,
,,Party Definition,Application,,
,,Price Entry,Application,,
,,Price Link Specification,Application,,
,,Pricing,Application,,
,,Quit,Application,,
,,Receive Message,Application,,
,,Ribbon Designer,Application,,
,,Risk Manager,Application,,
,,Rounding,Application,,
,,Run Query,Application,,
,,Run Script,Application,,
,,Save,Application,,
,,Save As...,Application,,
,,Security Transfer,Application,,
,,Send As Message...,Application,,
,,Send Message,Application,,
,,Session Control,Application,,
,,Sheet File Viewer,Application,,
,,State Chart,Application,,
,,State Chart Viewer,Application,,
,,Stored Column,Application,,
,,Tiering Category,Application,,
,,Time Series Data,Application,,
,,Time Series Dv Spec,Application,,
,,Time Series Specification,Application,,
,,Trade Filter,Application,,
,,Transaction History,Application,,
,,Trading Manager,Application,,
,,User Preferences,Application,,
,,Underlying Definition,Application,,
,,Valuation Viewer,Application,,
,,Volatility,Application,,
,,Volatility Manager,Application,,
,,Yield Curve Calculation,Application,,
,,Yield Curve Definition,Application,,
,,Portfolio Definition,Application,,
,,FX Rate,Application,,
,,Engineering Trade,Application,,
,,Security Loan,Application,,
,,FX Option Dated Forward,Application,,
,,FX Cash,Application,,
,,FX Option,Application,,
,,Portfolio Definitions,Application,,
,,Currency,Application,,
,,Price Swap,Application,,
,,Portfolio Swap,Application,,
,,Fund,Application,,
,,NDF,Application,,
,,MBS/ABS,Application,,
,,Make Total Return Swap,Application,,
,,Make Option,Application,,
,,Make Deposit,Application,,
,,Make Credit Def Swap,Application,,
,,FX Swap Instrument,Application,,
,,FRN,Application,,
,,FRA,Application,,
,,Four Eyes Control,Application,,
,,Floor,Application,,
,,Flexi Bond,Application,,
,,EMU Currency,Application,,
,,Dual Currency Bond,Application,,
,,Deposit/Loan,Application,,
,,Curr Swap,Application,,
,,Cash Flow Engineering,Application,,
,,Cap,Application,,
,,Call Deposit/Loan,Application,,
,,Bond,Application,,
,,Bill,Application,,
,,Swap,Application,,
,,DataLoader,Application,,
,,Basket Repo/Reverse Legacy,Application,,
,,Future/Forward,Application,,
,,CD,Application,,
,,Business Data Processing,Application,,
,,Fixing Date Rule,Application,,
,,Data Source Administration,Application,,
