USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
FO Static Data,FO_SD,Yes,,Yes,TextObject,DBObject,,
,,Yes,,Yes,Task,DBObject,,
,,Yes,,Yes,StateChartMapping,DBObject,,
,,Yes,,Yes,StateChart,DBObject,,
,,Yes,,Yes,RoundingSpec,DBObject,,
,,Yes,,Yes,RollbackSpec,DBObject,,
,,Yes,Yes,Yes,RateIndex,DBObject,,
,,Yes,Yes,Yes,PriceDefinition,DBObject,,
,,Yes,Yes,Yes,Price,DBObject,,
,,Yes,Yes,Yes,Portfolio,DBObject,,
,,Yes,Yes,Yes,PartyGroup,DBObject,,
,,Yes,Yes,Yes,Party,DBObject,,
,,Yes,,Yes,HierarchyType,DBObject,,
,,Yes,,Yes,Hierarchy,DBObject,,
,,Yes,Yes,Yes,CurrencyPair,DBObject,,
,,Yes,Yes,Yes,Curr,DBObject,,
,,,,,Void Deal,Operation,,
,,,,,Perform Terminate Open End,Operation,,
,,,,,Perform Extend Open End,Operation,,
,,,,,FO Confirm,Operation,,
,,,,,Change Trade Key4,Operation,,
,,,,,Change Trade Key3,Operation,,
,,,,,Change Trade Key2,Operation,,
,,,,,Change Trade Key1,Operation,,
,,,,,BO Reject,Operation,,
,,,,,Account Transfer,Operation,,
,,,,,Yield Curve Definition,Application,,
,,,,,Yield Curve Calculation,Application,,
,,,,,Volatility Manager,Application,,
,,,,,Volatility,Application,,
,,,,,Valuation Viewer,Application,,
,,,,,User Preferences,Application,,
,,,,,Underlying Definition,Application,,
,,,,,Transaction History,Application,,
,,,,,Trade Manager,Application,,
,,,,,Trade Status Specification,Application,,
,,,,,Trading Manager,Application,,
,,,,,Trade Report,Application,,
,,,,,Trade Filter,Application,,
,,,,,Time Series Specification,Application,,
,,,,,Time Series Dv Spec,Application,,
,,,,,Time Series Data,Application,,
,,,,,Tiering Category,Application,,
,,,,,Stored Column,Application,,
,,,,,State Chart Viewer,Application,,
,,,,,State Chart,Application,,
,,,,,Sheet File Viewer,Application,,
,,,,,Session Control,Application,,
,,,,,Send Message,Application,,
,,,,,Send As Message...,Application,,
,,,,,Security Transfer,Application,,
,,,,,Save As...,Application,,
,,,,,Save,Application,,
,,,,,Run Script,Application,,
,,,,,Run Query,Application,,
,,,,,Rounding,Application,,
,,,,,Risk Manager,Application,,
,,,,,Ribbon Designer,Application,,
,,,,,Receive Message,Application,,
,,,,,Rate Index,Application,,
,,,,,Quit,Application,,
,,,,,Price Link Specification,Application,,
,,,,,Price Entry,Application,,
,,,,,Portfolio Definitions,Application,,
,,,,,Portfolio Definition,Application,,
,,,,,Party Groups,Application,,
,,,,,Party Definition,Application,,
,,,,,Page Definition,Application,,
,,,,,Operations Viewer,Application,,
,,,,,Operations Manager,Application,,
,,,,,Open...,Application,,
,,,,,Issuer Definition,Application,,
,,,,,Instrument Definition,Application,,
,,,,,Insert Items,Application,,
,,,,,Information Manager,Application,,
,,,,,Hierarchy Editor Application,Application,,
,,,,,Fixing Date Rule,Application,,
,,,,,Explorer,Application,,
,,,,,Data Source Viewer,Application,,
,,,,,Currency Pair,Application,,
,,,,,Currency,Application,,
,,,,,Corporate Actions,Application,,
,,,,,Connected Trades Viewer,Application,,
,,,,,Compact Trade Entry,Application,,
,,,,,Cash Flow Table,Application,,
,,,,,Calendar,Application,,
,,,,,Business Process Details,Application,,
,,,,,Business Intelligence Workbench,Application,,
,,,,,Business Data Processing,Application,,
,,,,,Base Yield Curve Def,Application,,
,,,,,AEF Browser,Application,,
,,,,,About...,Application,,
,,Yes,Yes,Yes,MasterAgreement,DBObject,,
,,,,,Agreement,Application,,
,,,,,Master Agreement,Application,,
,,Yes,,Yes,CollateralAgreement,DBObject,,
