USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
FO Supervisor Workflow,FO_SUP,Yes,Yes,TextObject,DBObject,,
,,,,User Preferences,Application,,
,,,,Valuation Viewer,Application,,
,,,,Volatility,Application,,
,,,,Volatility Manager,Application,,
,,,,Yield Curve Calculation,Application,,
,,,,Yield Curve Definition,Application,,
,,,,Account Transfer,Operation,,
,,,,Change Trade Key1,Operation,,
,,,,Change Trade Key3,Operation,,
,,,,Change Trade Key4,Operation,,
,,Yes,Yes,BusinessEvent,DBObject,,
,,Yes,Yes,BusinessProcess,DBObject,,
,,Yes,Yes,Curr,DBObject,,
,,Yes,Yes,Extension Module,DBObject,,
,,Yes,Yes,Instrument,DBObject,,
,,Yes,Yes,InstrumentPackage,DBObject,,
,,Yes,Yes,Trade,DBObject,,
,,Yes,Yes,TransHst,DBObject,,
,,Yes,Yes,TransHstSubscription,DBObject,,
,,Yes,Yes,TransHstValidFrom,DBObject,,
,,,,About...,Application,,
,,,,AEF Browser,Application,,
,,,,Base Yield Curve Def,Application,,
,,,,Business Intelligence Workbench,Application,,
,,,,Business Process Details,Application,,
,,,,Calendar,Application,,
,,,,Cash Flow Table,Application,,
,,,,Compact Trade Entry,Application,,
,,,,Connected Trades Viewer,Application,,
,,,,Corporate Actions,Application,,
,,,,Currency Pair,Application,,
,,,,Data Source Viewer,Application,,
,,,,Explorer,Application,,
,,,,Fixing Date Rule,Application,,
,,,,Hierarchy Editor Application,Application,,
,,,,Information Manager,Application,,
,,,,Insert Items,Application,,
,,,,Instrument Definition,Application,,
,,,,Issuer Definition,Application,,
,,,,Log Categories,Application,,
,,,,Open...,Application,,
,,,,Operations Manager,Application,,
,,,,Operations Viewer,Application,,
,,,,Party Definition,Application,,
,,,,Party Groups,Application,,
,,,,Portfolio Definitions,Application,,
,,,,Price Entry,Application,,
,,,,Price Link Specification,Application,,
,,,,Quit,Application,,
,,,,Rate Index,Application,,
,,,,Receive Message,Application,,
,,,,Ribbon Designer,Application,,
,,,,Risk Manager,Application,,
,,,,Rounding,Application,,
,,,,Run Query,Application,,
,,,,Run Script,Application,,
,,,,Save,Application,,
,,,,Save As...,Application,,
,,,,Security Transfer,Application,,
,,,,Send As Message...,Application,,
,,,,Send Message,Application,,
,,,,Session Control,Application,,
,,,,Sheet File Viewer,Application,,
,,,,State Chart,Application,,
,,,,State Chart Viewer,Application,,
,,,,Stored Column,Application,,
,,,,Tiering Category,Application,,
,,,,Time Series Data,Application,,
,,,,Time Series Dv Spec,Application,,
,,,,Time Series Specification,Application,,
,,,,Task Management,Application,,
,,,,Trade Filter,Application,,
,,,,Trade Report,Application,,
,,,,Trade Status Specification,Application,,
,,,,Trading Manager,Application,,
,,,,Transaction History,Application,,
,,,,Underlying Definition,Application,,
,,,,Void Deal,Operation,,
,,,,Modify Internal,Operation,,
,,,,Change Trade Key2,Operation,,
,,,,Perform Terminate Open End,Operation,,
,,,,Perform Extend Open End,Operation,,
,,,,Modify FO Part,Operation,,
,,,,Modify FO,Operation,,
,,,,FO Confirm,Operation,,
,,,,BO Reject,Operation,,
,,,,Business Data Processing,Application,,
