USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
FXT Instrument,FXT_INS,Yes,Yes,FxSwap,DBObject,,
,,Yes,Yes,Fx Rate,DBObject,,
,,Yes,Yes,DealPackage,DBObject,,
,,Yes,Yes,Commodity,DBObject,,
,,,,FX Option,Application,,
,,,,FX Cash,Application,,
,,,,Commodity,Application,,
,,,,Swap,Application,,
,,,,Option,Application,,
,,,,NDF,Application,,
,,,,Future/Forward,Application,,
,,,,FRN,Application,,
,,,,FRA,Application,,
,,,,Curr Swap,Application,,
,,,,Base Yield Curve Def,Application,,
,,Yes,Yes,Future/Forward,DBObject,,
,,,,Fx Forward Rate,DBObject,,
