USERPROFILE,,PROFILECOMPONENT,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,COMPNBR.COMPNAME,COMPNBR.TYPE,FUNCS,,
Instrument Application,INS_APP,Bill,Application,Trading/&IR,,
,,Bond,Application,Trading/&IR,,
,,CD,Application,Trading/&IR,,
,,Call Deposit/Loan,Application,Trading/&MM,,
,,Cap,Application,Trading/&IR,,
,,Cash Flow Engineering,Application,Trading/&IR,,
,,Cash Payment,Application,Trading/&FX,,
,,Curr Swap,Application,Trading/&IR,,
,,Currency,Application,Trading/&FX,,
,,Deposit/Loan,Application,Trading/&MM,,
,,Engineering Trade,Application,Trading/&IR,,
,,FRA,Application,Trading/&IR,,
,,FRN,Application,Trading/&IR,,
,,FX Cash,Application,Trading/&FX,,
,,FX Rate,Application,Trading/&FX,,
,,FX Swap Instrument,Application,Trading/&FX,,
,,Flexi Bond,Application,Trading/&IR,,
,,Floor,Application,Trading/&IR,,
,,Future/Forward,Application,Trading/&IR,,
,,NDF,Application,Trading/&FX,,
,,Rate Index,Application,Trading/&IR,,
,,Swap,Application,Trading/&IR,,
,,Run Script,Operation,,,
,,Run Dbsqlexec,Operation,,,
,,Mark to Market,Operation,,,
,,Force Business Process to State,Operation,,,
,,Edit Prices,Operation,,,
,,Edit MTM Prices,Operation,,,
,,Change Valuation Group,Operation,,,
,,Change Discounting Type,Operation,,,
,,Allow Monitoring,Operation,,,
,,Access database SQL,Operation,,,
,,Zero Bond,Application,,,
,,Yield Curve Definition,Application,,,
,,Yield Curve Calculation,Application,,,
,,Worksheet Disposition,Application,,,
,,Volatility Manager,Application,,,
,,Volatility,Application,,,
,,Valuation Viewer,Application,,,
,,Valuation Parameters,Application,,,
,,Trading Manager,Application,,,
,,Time Series Specification,Application,,,
,,Time Series Dv Spec,Application,,,
,,Time Series Data,Application,,,
,,Tiering Category,Application,,,
,,Task Management,Application,,,
,,Stored Column,Application,,,
,,State Chart Viewer,Application,,,
,,State Chart,Application,,,
,,Sheet File Viewer,Application,,,
,,Settlement Process,Application,,,
,,Session Control,Application,,,
,,Server Monitoring Console,Application,,,
,,Send Message,Application,,,
,,Send As Message...,Application,,,
,,Save As...,Application,,,
,,Save,Application,,,
,,Run Script,Application,,,
,,Run Query,Application,,,
,,Rounding,Application,,,
,,Risk Matrix EQ,Application,,,
,,Risk Matrix,Application,,,
,,Risk Manager,Application,,,
,,Risk Factor Specification,Application,,,
,,Risk Factor Grouping,Application,,,
,,Ribbon Designer,Application,,,
,,Remote Valuation Viewer,Application,,,
,,Receive Message,Application,,,
,,Quotation Definition,Application,,,
,,Quit,Application,,,
,,Python Editor,Application,,,
,,Pricing,Application,,,
,,Price Link Specification,Application,,,
,,Price Index,Application,,,
,,Price Finding,Application,,,
,,Price Entry,Application,,,
,,Position Administration,Application,,,
,,Portfolio Definitions,Application,,,
,,Portfolio Definition,Application,,,
,,Party Groups,Application,,,
,,Party Definition,Application,,,
,,Party Alias,Application,,,
,,Parameter Override,Application,,,
,,Option,Application,,,
,,Operations Viewer,Application,,,
,,Operations Manager,Application,,,
,,Open...,Application,,,
,,Netting Rule Definition,Application,,,
,,MBS/ABS,Application,,,
,,Master Agreement,Application,,,
,,Make Swap,Application,,,
,,Make Curr Swap,Application,,,
,,Issuer Definition,Application,,,
,,Log Categories,Application,,,
,,Instrument Definition,Application,,,
,,Insert Items,Application,,,
,,Information Manager,Application,,,
,,Information,Application,,,
,,Hierarchy Editor Application,Application,,,
,,FX Option,Application,,,
,,Fixing Date Rule,Application,,,
,,Explorer,Application,,,
,,Distribution Management,Application,,,
,,Distributed Run Query,Application,,,
,,Disposition Administration,Application,,,
,,Default Protection,Application,,,
,,Data Source Viewer,Application,,,
,,Data Source Administration,Application,,,
,,Currency Pair,Application,,,
,,Correlation,Application,,,
,,Control Parameters,Application,,,
,,Context,Application,,,
,,Collateral Agreements,Application,,,
,,Choice List,Application,,,
,,Cash Flow Table,Application,,,
,,Calendar,Application,,,
,,Calculation Trace,Application,,,
,,Business Intelligence Workbench,Application,,,
,,Basket Repo/Reverse,Application,,,
,,Base Yield Curve Def,Application,,,
,,Alias Type Specification,Application,,,
,,Alias,Application,,,
,,AEF Browser,Application,,,
,,Administration Console,Application,,,
,,Additional Info Specification,Application,,,
,,Accounting Parameters,Application,,,
