USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
IRT Instrument,IRT_INS,Yes,Yes,Swap,DBObject,,
,,Yes,Yes,Option,DBObject,,
,,Yes,Yes,MBS/ABS,DBObject,,
,,Yes,Yes,FxSwap,DBObject,,
,,Yes,Yes,Fx Rate,DBObject,,
,,Yes,Yes,Fx Forward Rate,DBObject,,
,,Yes,Yes,Future/Forward,DBObject,,
,,Yes,Yes,Fund,DBObject,,
,,Yes,Yes,FRN,DBObject,,
,,Yes,Yes,FRA,DBObject,,
,,Yes,Yes,Deposit,DBObject,,
,,Yes,Yes,DealPackage,DBObject,,
,,Yes,Yes,CurrSwap,DBObject,,
,,Yes,Yes,Commodity,DBObject,,
,,Yes,Yes,Bond,DBObject,,
,,Yes,Yes,Bill,DBObject,,
,,Yes,Yes,BasketRepo/Reverse,DBObject,,
,,,,Swap,Application,,
,,,,Option,Application,,
,,,,MBS/ABS,Application,,
,,,,FX Option,Application,,
,,,,FX Cash,Application,,
,,,,Future/Forward,Application,,
,,,,Fund,Application,,
,,,,FRN,Application,,
,,,,FRA,Application,,
,,,,Deposit/Loan,Application,,
,,,,Curr Swap,Application,,
,,,,Commodity,Application,,
,,,,Cash Payment,Application,,
,,,,Bond,Application,,
,,,,Bill,Application,,
,,,,Basket Repo/Reverse,Application,,
,,,,Base Yield Curve Def,Application,,
,,,,Agreement,Application,,
,,,,Master Agreement,Application,,
,,Yes,Yes,MasterAgreement,DBObject,,
