USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
LAL Instrument,LAL_INS,,,Basket Repo/Reverse,Application,,
,,,,Bill,Application,,
,,,,Bond,Application,,
,,,,Cash Payment,Application,,
,,,,Curr Swap,Application,,
,,,,Deposit/Loan,Application,,
,,,,FRA,Application,,
,,,,FRN,Application,,
,,,,Fund,Application,,
,,,,Future/Forward,Application,,
,,,,MBS/ABS,Application,,
,,,,Option,Application,,
,,,,Swap,Application,,
,,Yes,Yes,BasketRepo/Reverse,DBObject,,
,,Yes,Yes,Bill,DBObject,,
,,Yes,Yes,Bond,DBObject,,
,,Yes,Yes,CurrSwap,DBObject,,
,,Yes,Yes,Deposit,DBObject,,
,,Yes,Yes,FRA,DBObject,,
,,Yes,Yes,FRN,DBObject,,
,,Yes,Yes,Fund,DBObject,,
,,Yes,Yes,Future/Forward,DBObject,,
,,Yes,Yes,MBS/ABS,DBObject,,
,,Yes,Yes,Option,DBObject,,
,,Yes,Yes,Swap,DBObject,,
,,Yes,Yes,Collateral,DBObject,,
,,Yes,Yes,CashCollateral,DBObject,,
,,,,Commodity,Application,,
,,,,Base Yield Curve Def,Application,,
