USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
TAS Instrument,TAS_INS,,,Commodity,Application,,
,,,,FX Cash,Application,,
,,,,FX Option,Application,,
,,Yes,Yes,Commodity,DBObject,,
,,Yes,Yes,DealPackage,DBObject,,
,,Yes,Yes,Fx Forward Rate,DBObject,,
,,Yes,Yes,Fx Rate,DBObject,,
,,Yes,Yes,FxSwap,DBObject,,
,,,,Swap,Application,,
,,,,Option,Application,,
,,,,NDF,Application,,
,,,,Future/Forward,Application,,
,,,,FRA,Application,,
,,,,Curr Swap,Application,,
,,,,Base Yield Curve Def,Application,,
