USERPROFILE,,PROFILECOMPONENT,,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_AUTHORIZE,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
WCO Checker,WCO_CHECKER,,Yes,,Yes,TextObject,DBObject,,
,,,,,,Party Alias,Application,,
,,,,,,Party Definition,Application,,
,,,,,,Party Groups,Application,,
,,,,,,Portfolio Definitions,Application,,
,,,,,,Portfolio Definition,Application,,
,,Yes,Yes,Yes,Yes,ComplianceRule,DBObject,,
,,Yes,Yes,Yes,Yes,Limit,DBObject,,
,,Yes,Yes,Yes,Yes,LimitSpec,DBObject,,
,,Yes,Yes,Yes,Yes,LimitValue,DBObject,,
,,Yes,Yes,Yes,Yes,AppliedRule,DBObject,,
,,,Yes,,Yes,Extension Module,DBObject,,
