USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
WCO Maker,WCO_MAKER,Yes,,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,LimitValue,DBObject,,
,,Yes,Yes,Yes,LimitSpec,DBObject,,
,,Yes,Yes,Yes,Limit,DBObject,,
,,Yes,Yes,Yes,ComplianceRule,DBObject,,
,,,,,Portfolio Definition,Application,,
,,,,,Portfolio Definitions,Application,,
,,,,,Party Groups,Application,,
,,,,,Party Definition,Application,,
,,,,,Party Alias,Application,,
,,Yes,Yes,Yes,AppliedRule,DBObject,,
,,Yes,,Yes,Extension Module,DBObject,,
