VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,USD,IDR,USD/IDR,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-USDIDR,Malz,Relative,0.06675,0.0028,0.0101,0,0.0129,0.0261,0,-0.01,0.01,Yes,Spot,1w,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.068,0.003,0.011025,0,0.01669,0.0338,0,-0.01,0.01,Yes,Spot,1m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.075,0.0033,0.01268,0,0.01895,0.0388,0,-0.01,0.01,Yes,Spot,2m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0775,0.0035,0.0145,0,0.02104,0.0445,0,-0.01,0.01,Yes,Spot,3m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.08275,0.0042,0.0161,0,0.02681,0.0542,0,-0.01,0.01,Yes,Spot,6m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.086,0.0041,0.0171,0,0.02884,0.057,0,-0.01,0.01,Yes,Spot,9m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0875,0.0044,0.0182,0,0.03076,0.065,0,-0.01,0.01,Yes,Spot,1y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0938,0.006,0.024,0,0.0318,0.067,0,-0.01,0.01,Yes,Spot,2y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0945,0.0069,0.0262,0,0.032,0.0683,0,-0.01,0.01,Yes,Spot,3y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0955,0.008,0.0289,0,0.032,0.07,0,-0.01,0.01,Yes,Spot,5y,7,None,,
