VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,USD,HKD,USD/HKD,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-USDHKD,Malz,Relative,0.0071,0.00075,0.00325,0,0.00025,0.003,0,-0.01,0.01,Yes,Spot,1w,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.00848,0.0009,0.003,0,-0.00025,-0.0041,0,-0.01,0.01,Yes,Spot,1m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.00985,0.0011,0.0035,0,-0.0005,0.002,0,-0.01,0.01,Yes,Spot,2m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.01085,0.00075,0.00575,0,0.0005,-0.0005,0,-0.01,0.01,Yes,Spot,3m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.01378,0.00125,0.00725,0,0.001,-0.0015,0,-0.01,0.01,Yes,Spot,6m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.01605,0.00225,0.008875,0,0.0015,0.0025,0,-0.01,0.01,Yes,Spot,9m,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.01783,0.00225,0.01195,0,0.0015,0.0025,0,-0.01,0.01,Yes,Spot,1y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0223,0.0043,0.0194,0,0.0057,0.0126,0,-0.01,0.01,Yes,Spot,2y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0277,0,0,0,0,0,0,-0.01,0.01,Yes,Spot,3y,7,None,,
,,,,,,,,,,,,,,,,,,,,,,,0.0367,0,0,0,0,0,0,-0.01,0.01,Yes,Spot,5y,7,None,,
