INSTRUMENT,,,,,,,,,,,,,,,,,,,,/INSTRUMENT
CONTR_SIZE,CURR.INSID,EXERCISE_TYPE,EXP_PERIOD,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OPTION_TYPE,PAYTYPE,PAY_DAY_OFFSET,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SETTLEMENT,SPOT_BANKING_DAYS_OFFSET,STRIKE_CURR.INSID,STRIKE_PRICE,STRIKE_TYPE,UND_INSADDR.INSID,UND_INSTYPE,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/10Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,15y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/15Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,18m,Yes,EUR/R/IRS/EU3M/DISP-BVOL/18M/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,1m,Yes,EUR/R/IRS/EU3M/DISP-BVOL/1M/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,1y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/1Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,20y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/20Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,25y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/25Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,2m,Yes,EUR/R/IRS/EU3M/DISP-BVOL/2M/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,2y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/2Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,30y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/30Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,3m,Yes,EUR/R/IRS/EU3M/DISP-BVOL/3M/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,3y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/3Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,4y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/4Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,5y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/5Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,6m,Yes,EUR/R/IRS/EU3M/DISP-BVOL/6M/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,7y,Yes,EUR/R/IRS/EU3M/DISP-BVOL/7Y/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,9m,Yes,EUR/R/IRS/EU3M/DISP-BVOL/9M/1Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU3M-F/1Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/10Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/10Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/15Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/15Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/20Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/20Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/25Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/25Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/2Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/2Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/30Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/30Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/3Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/3Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/4Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/4Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/5Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/5Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/6Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/6Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/7Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/7Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/8Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/8Y,Swap,
1000000,EUR,European,10y,Yes,EUR/R/IRS/EU6M/DISP-BVOL/10Y/9Y/ATM,Option,Yes,Receiver,Spot,2,Business Days,Volatility,Cash Par Yield,2,EUR,0,Rel Frw,EUR/IRS/EU6M-F/9Y,Swap,
