VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,DISPLACED_BLACK_SCHOLES_SHIFT,INSADDR.INSID,VOLATILITY,,
Yield Forward,FA Implied volatility,FA Invalid Market Price,EUR,,1,1,Default,Linear Volatility,1,1,Black & Scholes - Displaced,Linear,0.03,IR Vol,Absolute,Rel Frw,EUR-SWTN-B&S-DISP,Benchmark,Relative,0.015,EUR/R/IRS/EU6M/DISP-BVOL/10Y/10Y/ATM,0.24,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/10Y/15Y/ATM,0.23,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/10Y/1Y/ATM,0.157,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/10Y/20Y/ATM,0.226,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/10Y/25Y/ATM,0.229,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/10Y/2Y/ATM,0.169,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/10Y/30Y/ATM,0.232,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/10Y/3Y/ATM,0.185,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/10Y/4Y/ATM,0.205,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/10Y/5Y/ATM,0.228,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/10Y/6Y/ATM,0.23,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/10Y/7Y/ATM,0.233,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/10Y/8Y/ATM,0.235,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/10Y/9Y/ATM,0.237,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/15Y/10Y/ATM,0.248,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/15Y/15Y/ATM,0.236,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/15Y/1Y/ATM,0.151,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/15Y/20Y/ATM,0.227,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/15Y/25Y/ATM,0.228,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/15Y/2Y/ATM,0.166,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/15Y/30Y/ATM,0.233,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/15Y/3Y/ATM,0.184,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/15Y/4Y/ATM,0.206,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/15Y/5Y/ATM,0.233,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/15Y/6Y/ATM,0.237,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/15Y/7Y/ATM,0.24,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/15Y/8Y/ATM,0.243,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/15Y/9Y/ATM,0.246,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/18M/10Y/ATM,0.288,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/18M/15Y/ATM,0.277,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/18M/1Y/ATM,0.113,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/18M/20Y/ATM,0.279,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/18M/25Y/ATM,0.282,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/18M/2Y/ATM,0.138,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/18M/30Y/ATM,0.286,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/18M/3Y/ATM,0.173,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/18M/4Y/ATM,0.21,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/18M/5Y/ATM,0.267,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/18M/6Y/ATM,0.271,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/18M/7Y/ATM,0.277,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/18M/8Y/ATM,0.282,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/18M/9Y/ATM,0.285,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1M/10Y/ATM,0.236,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1M/15Y/ATM,0.227,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/1M/1Y/ATM,0.044,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1M/20Y/ATM,0.233,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1M/25Y/ATM,0.24,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/1M/2Y/ATM,0.069,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1M/30Y/ATM,0.242,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/1M/3Y/ATM,0.104,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/1M/4Y/ATM,0.145,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/1M/5Y/ATM,0.181,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/1M/6Y/ATM,0.197,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/1M/7Y/ATM,0.208,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/1M/8Y/ATM,0.218,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/1M/9Y/ATM,0.23,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1Y/10Y/ATM,0.289,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1Y/15Y/ATM,0.28,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/1Y/1Y/ATM,0.093,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1Y/20Y/ATM,0.283,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1Y/25Y/ATM,0.287,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/1Y/2Y/ATM,0.119,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/1Y/30Y/ATM,0.289,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/1Y/3Y/ATM,0.155,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/1Y/4Y/ATM,0.201,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/1Y/5Y/ATM,0.259,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/1Y/6Y/ATM,0.267,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/1Y/7Y/ATM,0.277,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/1Y/8Y/ATM,0.283,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/1Y/9Y/ATM,0.287,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/20Y/10Y/ATM,0.258,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/20Y/15Y/ATM,0.242,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/20Y/1Y/ATM,0.156,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/20Y/20Y/ATM,0.229,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/20Y/25Y/ATM,0.232,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/20Y/2Y/ATM,0.173,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/20Y/30Y/ATM,0.234,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/20Y/3Y/ATM,0.193,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/20Y/4Y/ATM,0.216,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/20Y/5Y/ATM,0.247,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/20Y/6Y/ATM,0.25,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/20Y/7Y/ATM,0.252,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/20Y/8Y/ATM,0.254,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/20Y/9Y/ATM,0.256,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/25Y/10Y/ATM,0.256,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/25Y/15Y/ATM,0.24,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/25Y/1Y/ATM,0.158,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/25Y/20Y/ATM,0.23,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/25Y/25Y/ATM,0.233,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/25Y/2Y/ATM,0.174,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/25Y/30Y/ATM,0.231,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/25Y/3Y/ATM,0.194,,
,,,,,,,,,,,,,,,,,,,,0.0195,EUR/R/IRS/EU6M/DISP-BVOL/25Y/4Y/ATM,0.218,,
,,,,,,,,,,,,,,,,,,,,0.016,EUR/R/IRS/EU6M/DISP-BVOL/25Y/5Y/ATM,0.249,,
,,,,,,,,,,,,,,,,,,,,0.0158,EUR/R/IRS/EU6M/DISP-BVOL/25Y/6Y/ATM,0.251,,
,,,,,,,,,,,,,,,,,,,,0.0156,EUR/R/IRS/EU6M/DISP-BVOL/25Y/7Y/ATM,0.252,,
,,,,,,,,,,,,,,,,,,,,0.0154,EUR/R/IRS/EU6M/DISP-BVOL/25Y/8Y/ATM,0.253,,
,,,,,,,,,,,,,,,,,,,,0.0152,EUR/R/IRS/EU6M/DISP-BVOL/25Y/9Y/ATM,0.255,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/2M/10Y/ATM,0.25,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/2M/15Y/ATM,0.246,,
,,,,,,,,,,,,,,,,,,,,0.03,EUR/R/IRS/EU3M/DISP-BVOL/2M/1Y/ATM,0.048,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/2M/20Y/ATM,0.253,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/2M/25Y/ATM,0.257,,
,,,,,,,,,,,,,,,,,,,,0.0265,EUR/R/IRS/EU6M/DISP-BVOL/2M/2Y/ATM,0.068,,
,,,,,,,,,,,,,,,,,,,,0.015,EUR/R/IRS/EU6M/DISP-BVOL/2M/30Y/ATM,0.261,,
,,,,,,,,,,,,,,,,,,,,0.023,EUR/R/IRS/EU6M/DISP-BVOL/2M/3Y/ATM,0.107,,
