INSTRUMENT,,,,,,,,,,,,,,,,,,,,/INSTRUMENT
CONTR_SIZE,CURR.INSID,EXERCISE_TYPE,EXP_PERIOD,GENERIC,INSID,INSTYPE,MTM_FROM_FEED,OPTION_TYPE,PAYTYPE,PAY_DAY_OFFSET,PAY_OFFSET_METHOD,QUOTATION_SEQNBR.NAME,SETTLEMENT,SPOT_BANKING_DAYS_OFFSET,STRIKE_CURR.INSID,STRIKE_PRICE,STRIKE_TYPE,UND_INSADDR.INSID,UND_INSTYPE,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/10Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,15y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/15Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,1m,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/1M/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,1y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/1Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,20y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/20Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,25y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/25Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,2y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/2Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,30y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/30Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,3m,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/3M/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,3y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/3Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,4y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/4Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,5y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/5Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,6m,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/6M/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,7y,Yes,GBP/R/IRS/LI3M/BP-VOL-BUS/7Y/1Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI3M-F/1Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/10Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/10Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/15Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/15Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/20Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/20Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/25Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/25Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/2Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/2Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/30Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/30Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/3Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/3Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/4Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/4Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/5Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/5Y,Swap,
1000000,GBP,European,10y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/7Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/7Y,Swap,
1000000,GBP,European,15y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/10Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/10Y,Swap,
1000000,GBP,European,15y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/15Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/15Y,Swap,
1000000,GBP,European,15y,Yes,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/20Y/ATM,Option,Yes,Receiver,Spot,0,Business Days,Volatility bps,Cash Par Yield,0,GBP,0,Rel Frw,GBP/IRS/LI6M-F/20Y,Swap,
