VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
Yield Forward,FA Implied Absolute Vol,FA Invalid Market Price,GBP,,1,1,Default,Linear Volatility,1,1,Black & Scholes - Normal,Hermite,0.03,IR Vol,Absolute,Rel Frw,GBP-SWTN-BP-VOL-BUS,Benchmark,Absolute,GBP/R/IRS/LI3M/BP-VOL-BUS/10Y/1Y/ATM,0.00701,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/15Y/1Y/ATM,0.00658,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/1M/1Y/ATM,0.00899,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/1Y/1Y/ATM,0.00712,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/20Y/1Y/ATM,0.00634,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/25Y/1Y/ATM,0.00615,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/2Y/1Y/ATM,0.00719,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/30Y/1Y/ATM,0.006,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/3M/1Y/ATM,0.00753,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/3Y/1Y/ATM,0.00723,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/4Y/1Y/ATM,0.00717,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/5Y/1Y/ATM,0.00713,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/6M/1Y/ATM,0.00711,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI3M/BP-VOL-BUS/7Y/1Y/ATM,0.00726,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/10Y/ATM,0.0064,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/15Y/ATM,0.00624,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/20Y/ATM,0.00613,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/25Y/ATM,0.006,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/2Y/ATM,0.0069,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/30Y/ATM,0.00594,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/3Y/ATM,0.0068,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/4Y/ATM,0.00674,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/5Y/ATM,0.00666,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/10Y/7Y/ATM,0.00655,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/10Y/ATM,0.0061,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/15Y/ATM,0.00591,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/20Y/ATM,0.00575,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/25Y/ATM,0.00557,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/2Y/ATM,0.0065,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/30Y/ATM,0.00552,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/3Y/ATM,0.00639,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/4Y/ATM,0.00632,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/5Y/ATM,0.00628,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/15Y/7Y/ATM,0.0062,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/10Y/ATM,0.00865,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/15Y/ATM,0.00901,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/20Y/ATM,0.00932,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/25Y/ATM,0.00955,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/2Y/ATM,0.0095,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/30Y/ATM,0.00979,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/3Y/ATM,0.00921,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/4Y/ATM,0.00893,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/5Y/ATM,0.00861,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1M/7Y/ATM,0.00862,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/10Y/ATM,0.00779,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/15Y/ATM,0.00796,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/20Y/ATM,0.00811,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/25Y/ATM,0.00822,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/2Y/ATM,0.00751,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/30Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/3Y/ATM,0.00754,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/4Y/ATM,0.00758,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/5Y/ATM,0.00758,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/1Y/7Y/ATM,0.00765,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/10Y/ATM,0.00591,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/15Y/ATM,0.00572,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/20Y/ATM,0.00554,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/25Y/ATM,0.00538,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/2Y/ATM,0.0063,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/30Y/ATM,0.00529,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/3Y/ATM,0.0062,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/4Y/ATM,0.00614,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/5Y/ATM,0.00609,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/20Y/7Y/ATM,0.00602,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/10Y/ATM,0.00575,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/15Y/ATM,0.00554,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/20Y/ATM,0.00536,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/25Y/ATM,0.00518,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/2Y/ATM,0.0061,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/30Y/ATM,0.00509,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/3Y/ATM,0.00606,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/4Y/ATM,0.006,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/5Y/ATM,0.00595,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/25Y/7Y/ATM,0.00587,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/10Y/ATM,0.00757,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/15Y/ATM,0.00765,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/20Y/ATM,0.00775,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/25Y/ATM,0.00779,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/2Y/ATM,0.00755,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/30Y/ATM,0.0079,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/3Y/ATM,0.00754,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/4Y/ATM,0.00751,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/5Y/ATM,0.00746,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/2Y/7Y/ATM,0.0075,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/10Y/ATM,0.00562,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/15Y/ATM,0.00544,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/20Y/ATM,0.00525,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/25Y/ATM,0.00507,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/2Y/ATM,0.00593,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/30Y/ATM,0.00499,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/3Y/ATM,0.00589,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/4Y/ATM,0.00584,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/5Y/ATM,0.00578,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/30Y/7Y/ATM,0.00572,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/10Y/ATM,0.00831,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/15Y/ATM,0.00589,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/20Y/ATM,0.00885,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/25Y/ATM,0.00902,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/2Y/ATM,0.00801,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/30Y/ATM,0.0092,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/3Y/ATM,0.00803,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/4Y/ATM,0.00801,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/5Y/ATM,0.00796,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3M/7Y/ATM,0.00812,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/10Y/ATM,0.00737,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/15Y/ATM,0.00739,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/20Y/ATM,0.00742,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/25Y/ATM,0.00745,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/2Y/ATM,0.00747,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/30Y/ATM,0.00748,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/3Y/ATM,0.00744,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/4Y/ATM,0.00738,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/5Y/ATM,0.00734,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/3Y/7Y/ATM,0.00733,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/10Y/ATM,0.00716,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/15Y/ATM,0.00717,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/20Y/ATM,0.00716,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/25Y/ATM,0.00715,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/2Y/ATM,0.00734,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/30Y/ATM,0.00716,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/3Y/ATM,0.00733,,
,,,,,,,,,,,,,,,,,,,,GBP/R/IRS/LI6M/BP-VOL-BUS/4Y/4Y/ATM,0.00727,,
