VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,EUR,AUD,EUR/AUD,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-EURAUD,Malz,Relative,0.0555,0.05632,0.05881,0.06348,0.05498,0.05527,0.05746,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.063,0.06497,0.07007,0.07908,0.06214,0.06205,0.0648,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06425,0.06639,0.07189,0.08163,0.06336,0.06322,0.06628,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06628,0.06874,0.075,0.0861,0.06537,0.06529,0.06924,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06725,0.06994,0.07661,0.08834,0.06637,0.06629,0.07064,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05763,0.05869,0.06155,0.06657,0.05696,0.05701,0.0589,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05832,0.05946,0.06245,0.06756,0.0576,0.05757,0.05936,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05875,0.05996,0.06303,0.0682,0.05801,0.05793,0.05966,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05905,0.06029,0.06355,0.06895,0.05843,0.05844,0.05981,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05925,0.06052,0.06393,0.06948,0.05872,0.05879,0.05992,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05975,0.0611,0.06485,0.07185,0.05893,0.05865,0.06049,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06066,0.06221,0.06635,0.07379,0.05981,0.0596,0.06168,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06123,0.06291,0.06729,0.075,0.06036,0.06018,0.06241,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06162,0.06341,0.06795,0.07585,0.06075,0.06059,0.06291,,,,,6m,7,Option Quotes,,
