VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,EUR,CAD,EUR/CAD,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-EURCAD,Malz,Relative,0.0435,0.04404,0.04711,0.05584,0.04271,0.04355,0.0498,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.053,0.05446,0.05804,0.06421,0.05228,0.05223,0.05455,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05475,0.0563,0.06048,0.068,0.05408,0.05404,0.05627,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05728,0.05895,0.06365,0.07269,0.05655,0.0569,0.06151,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0585,0.06027,0.06526,0.07488,0.05777,0.05826,0.06382,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06425,0.06571,0.07064,0.08012,0.06388,0.06438,0.06846,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06822,0.0697,0.07483,0.08468,0.06791,0.06851,0.07349,,,,,4y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0705,0.07203,0.07735,0.08739,0.07024,0.07087,0.07633,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.04675,0.04743,0.05004,0.05703,0.04616,0.04651,0.05089,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.04768,0.04841,0.05079,0.05615,0.04715,0.04725,0.04978,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.04825,0.04902,0.05124,0.05533,0.04776,0.04768,0.0488,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.04781,0.04865,0.05102,0.05536,0.04729,0.04716,0.04824,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0475,0.04839,0.05087,0.05538,0.04695,0.04679,0.04784,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.049,0.05008,0.05285,0.05761,0.04838,0.04823,0.04955,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05011,0.05128,0.05435,0.05978,0.04944,0.04944,0.05146,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05079,0.05203,0.05529,0.06109,0.0501,0.05018,0.05259,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.05125,0.05255,0.05593,0.06197,0.05055,0.05068,0.05334,,,,,6m,7,Option Quotes,,
