VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,BUTTERFLY_QUOTE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,VOL_CUT_OFF_TYPE,,
Price,1 Vol,EUR,CHF,EUR/CHF,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Cubic Spline,FX Vol,1,Delta,Delta,FX-EURCHF,Malz,Relative,0.02,0.0025,0.00825,0.06,-0.002,-0.0036,0.06,-0.01,0.01,Yes,Forward,1d,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.002,0.0066,0.06,-0.0025,-0.0045,0.06,-0.01,0.01,Yes,Forward,1w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.002,0.0066,0.06,-0.0025,-0.0045,0.06,-0.01,0.01,Yes,Forward,2w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0495,0.003,0.0099,0.06,-0.0055,-0.01045,0.06,-0.01,0.01,Yes,Forward,1m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.057,0.0039,0.01287,0.06,-0.0095,-0.01805,0.06,-0.01,0.01,Yes,Forward,2m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0705,0.0047,0.01551,0.06,-0.02,-0.038,0.06,-0.01,0.01,Yes,Forward,3m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.074,0.0064,0.02112,0.06,-0.022,-0.0418,0.06,-0.01,0.01,Yes,Forward,6m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0825,0.0082,0.02706,0.06,-0.026,-0.0494,0.06,-0.01,0.01,Yes,Forward,1y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0905,0.0072,0.02376,0.06,-0.0245,-0.0441,0.06,-0.01,0.01,Yes,Forward,2y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.00725,0.02538,0.06,-0.0275,-0.04813,0.06,-0.01,0.01,Yes,Forward,3y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1095,0.0067,0.02345,0.06,-0.0305,-0.05338,0.06,-0.01,0.01,Yes,Forward,4y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1155,0.0062,0.0217,0.06,-0.0335,-0.05863,0.06,-0.01,0.01,Yes,Forward,5y,5,Delta,,
