VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,EUR,GBP,EUR/GBP,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-EURGBP,Malz,Relative,0.07113,0.07115,0.0735,0.08213,0.07054,0.0714,0.07782,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.068,0.07044,0.07593,0.0849,0.06692,0.06638,0.06862,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.069,0.07151,0.07721,0.08711,0.06782,0.06701,0.06973,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07001,0.07285,0.07881,0.08832,0.06901,0.0684,0.07089,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0705,0.07356,0.07966,0.08893,0.06961,0.06908,0.07142,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.073,0.07624,0.08277,0.09325,0.07215,0.07125,0.074,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07825,0.08211,0.08895,0.099,0.07772,0.07686,0.07952,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0805,0.0805,0.0805,0.0805,0.0805,0.0805,0.0805,,,,,7y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.084,0.084,0.084,0.084,0.084,0.084,0.084,,,,,10y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07036,0.07111,0.07398,0.08036,0.0698,0.07028,0.07369,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07007,0.07109,0.07414,0.07975,0.06954,0.06989,0.07225,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06988,0.07107,0.07425,0.07935,0.06936,0.06964,0.0713,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06849,0.06981,0.07324,0.07886,0.06786,0.06795,0.06956,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0675,0.06891,0.07253,0.07853,0.06679,0.06674,0.06832,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06712,0.06876,0.07308,0.08068,0.06626,0.06618,0.06854,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06731,0.06916,0.07384,0.08197,0.06635,0.06621,0.06889,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.06742,0.06942,0.07433,0.08278,0.06641,0.06623,0.06911,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0675,0.06962,0.07469,0.08336,0.06645,0.06624,0.06925,,,,,6m,7,Option Quotes,,
