VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,,,,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-GBPAUD,Malz,Relative,0.07113,0.07066,0.0717,0.07539,0.07205,0.07562,0.08285,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07675,0.07615,0.07812,0.08348,0.07768,0.08233,0.09206,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0775,0.07674,0.0787,0.0848,0.07827,0.08273,0.09326,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08275,0.08197,0.08461,0.09267,0.08316,0.08732,0.09956,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.087,0.08679,0.08994,0.09794,0.08713,0.09032,0.10159,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.091,0.09118,0.09548,0.10521,0.09099,0.0935,0.10471,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07354,0.07303,0.07381,0.07726,0.0745,0.07802,0.08527,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07415,0.07358,0.07419,0.07709,0.07508,0.07848,0.08534,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0745,0.07388,0.07435,0.07679,0.0754,0.0787,0.08521,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07399,0.07332,0.07386,0.07643,0.07497,0.07847,0.08513,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07363,0.07292,0.07351,0.07618,0.07466,0.07829,0.08507,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07363,0.07297,0.07379,0.0767,0.07467,0.0785,0.08556,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07431,0.07365,0.07476,0.07842,0.07532,0.07938,0.08723,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07471,0.07405,0.07534,0.07942,0.0757,0.07987,0.08819,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.075,0.07434,0.07576,0.08016,0.07596,0.08022,0.08887,,,,,6m,7,Option Quotes,,
