VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,SKEW_INPUT_TYPE,,
Price,GBP,JPY,GBP/JPY,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Polynomial Fit,FX Vol,1,Delta,Delta,FX-GBPJPY,Malz,Relative,0.07975,0.07838,0.07944,0.08872,0.08046,0.08624,0.10383,-0.01,0.01,Yes,Spot,1w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.083,0.07894,0.07644,0.07597,0.0861,0.09764,0.11821,,,,,9m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0865,0.0822,0.07989,0.07858,0.08971,0.10269,0.12451,,,,,1y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08946,0.08464,0.08197,0.08077,0.09206,0.10515,0.12918,,,,,18m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.091,0.08583,0.08299,0.08175,0.09307,0.10609,0.13114,,,,,2y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.09325,0.08644,0.08287,0.08238,0.09457,0.10815,0.13528,,,,,3y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.097,0.08869,0.08481,0.08399,0.09651,0.11131,0.14226,,,,,5y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.1235,0.11372,0.11172,0.11259,0.11955,0.13421,0.16766,,,,,7y,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08019,0.0782,0.07753,0.08124,0.08168,0.08787,0.10193,,,,,2w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07974,0.0778,0.07682,0.07841,0.0817,0.08833,0.1011,,,,,3w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07912,0.07731,0.07618,0.07577,0.08155,0.08867,0.10027,,,,,1m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07895,0.0769,0.07557,0.07516,0.08153,0.08902,0.10115,,,,,6w,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.07875,0.07637,0.0748,0.07439,0.08149,0.08943,0.1022,,,,,2m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.0795,0.07712,0.07528,0.0733,0.08239,0.09175,0.10739,,,,,3m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08068,0.07772,0.07553,0.07418,0.08371,0.0935,0.11013,,,,,4m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08161,0.07817,0.07573,0.07487,0.08471,0.09479,0.11217,,,,,5m,7,Option Quotes,,
,,,,,,,,,,,,,,,,,,,,,,,0.08212,0.07841,0.07584,0.07524,0.08522,0.09545,0.11324,,,,,6m,7,Option Quotes,,
