VOLATILITY,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,BUTTERFLY_QUOTE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,VOL_CUT_OFF_TYPE,,
,2 Vol,NZD,USD,NZD/USD,,Zero Delta Straddle,Domestic per foreign,1,,Variance,Yes,1,Black & Scholes,Linear,FX Vol,1.5,Delta,,FX-NZDUSD,Malz,,0.12905,0.00145,0.00445,,-0.00925,-0.01735,,-0.01,0.01,Yes,Spot,1d,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.09585,0.0033,0.01,,-0.0153,-0.029,,-0.01,0.01,Yes,Spot,9m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.09695,0.00365,0.0115,,-0.0165,-0.0312,,-0.01,0.01,Yes,Spot,1y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.098025,0.003475,0.011475,,-0.01675,-0.0318,,-0.01,0.01,Yes,Spot,18m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.098725,0.003475,0.0122,,-0.017475,-0.03335,,-0.01,0.01,Yes,Spot,2y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0948,0.00145,0.0041,,-0.0088,-0.0167,,-0.01,0.01,Yes,Spot,1w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.09245,0.0016,0.0045,,-0.0096,-0.0182,,-0.01,0.01,Yes,Spot,2w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.09195,0.001525,0.00465,,-0.009175,-0.01885,,-0.01,0.01,Yes,Spot,3w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.09405,0.0018,0.00515,,-0.0101,-0.0193,,-0.01,0.01,Yes,Spot,1m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0933,0.00215,0.00635,,-0.0114,-0.0218,,-0.01,0.01,Yes,Spot,2m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0938,0.0024,0.00735,,-0.01265,-0.024,,-0.01,0.01,Yes,Spot,3m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0946,0.00295,0.00905,,-0.01435,-0.0273,,-0.01,0.01,Yes,Spot,6m,5,Delta,,
