VOLATILITY,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,BUTTERFLY_QUOTE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,VOL_CUT_OFF_TYPE,,
,2 Vol,USD,CAD,USD/CAD,,Zero Delta Straddle,Pct of foreign,1,,Variance,Yes,1,Black & Scholes,Linear,FX Vol,1.5,Delta,,FX-USDCAD,Malz,,0.08995,0.0014,0.0047,,0.0094,0.0164,,-0.01,0.01,Yes,Spot,1d,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0677,0.002775,0.0077,,0.008875,0.0158,,-0.01,0.01,Yes,Spot,9m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.06795,0.00295,0.00855,,0.0087,0.0161,,-0.01,0.01,Yes,Spot,1y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.06905,0.00305,0.008825,,0.008375,0.0153,,-0.01,0.01,Yes,Spot,18m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.069875,0.003275,0.00955,,0.008375,0.01525,,-0.01,0.01,Yes,Spot,2y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0711,0.001575,0.0042,,0.010425,0.01855,,-0.01,0.01,Yes,Spot,1w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.0685,0.001625,0.00435,,0.009825,0.0171,,-0.01,0.01,Yes,Spot,2w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.06575,0.001675,0.0041,,0.008975,0.016,,-0.01,0.01,Yes,Spot,3w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.07115,0.00185,0.00485,,0.0091,0.0161,,-0.01,0.01,Yes,Spot,1m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.06785,0.00195,0.0051,,0.0089,0.0158,,-0.01,0.01,Yes,Spot,2m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.06805,0.002,0.0057,,0.0089,0.016,,-0.01,0.01,Yes,Spot,3m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,0.06775,0.002475,0.0069,,0.008975,0.01605,,-0.01,0.01,Yes,Spot,6m,5,Delta,,
