VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,BUTTERFLY_QUOTE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,VOL_CUT_OFF_TYPE,,
Price,2 Vol,USD,JPY,USD/JPY,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Cubic Spline,FX Vol,1,Delta,Delta,FX-USDJPY,Malz,Relative,0.07533,0.00468,0.01238,0.06,-0.00493,-0.00925,0.06,-0.01,0.01,Yes,Spot,1d,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10275,0.0045,0.01455,0.06,-0.00615,-0.0118,0.06,-0.01,0.01,Yes,Spot,1w,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.13595,0.00455,0.0143,0.06,0.00022,0.0003,0.06,-0.01,0.01,Yes,Spot,2w,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.11498,0.00473,0.01468,0.06,-0.01098,-0.02098,0.06,-0.01,0.01,Yes,Spot,1m,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.11398,0.00553,0.0174,0.06,-0.01735,-0.03343,0.06,-0.01,0.01,Yes,Spot,2m,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.11325,0.0063,0.0204,0.06,-0.0222,-0.04285,0.06,-0.01,0.01,Yes,Spot,3m,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10878,0.0079,0.025,0.06,-0.02358,-0.0464,0.06,-0.01,0.01,Yes,Spot,6m,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10775,0.00843,0.0277,0.06,-0.0238,-0.04743,0.06,-0.01,0.01,Yes,Spot,9m,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10715,0.00915,0.03055,0.06,-0.0241,-0.0483,0.06,-0.01,0.01,Yes,Spot,1y,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10755,0.0103,0.03433,0.06,-0.02225,-0.04588,0.06,-0.01,0.01,Yes,Spot,2y,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10845,0.01138,0.03743,0.06,-0.0209,-0.04328,0.06,-0.01,0.01,Yes,Spot,3y,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.11083,0.01243,0.04295,0.06,-0.01978,-0.04088,0.06,-0.01,0.01,Yes,Spot,5y,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.01355,0.08,0.06,-0.0218,0.06,0.06,-0.01,0.01,Yes,Spot,7y,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.14225,0.01068,0.08,0.06,-0.02318,0.06,0.06,-0.01,0.01,Yes,Spot,10y,3,,,
