VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
Yield Forward,FA Implied Absolute Vol,FA Invalid Market Price,USD,,1,1,Default,Linear Volatility,1,1,Black & Scholes - Normal,Hermite,0.03,IR Vol,Absolute,Rel Frw,USD-SWTN-BP-VOL,Benchmark,Absolute,USD/R/IRS/LI3M/BP-VOL/10Y/10Y/ATM,0.00649,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/15Y/ATM,0.0062,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/1Y/ATM,0.00709,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/20Y/ATM,0.00595,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/25Y/ATM,0.00582,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/2Y/ATM,0.00702,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/30Y/ATM,0.00577,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/3Y/ATM,0.00693,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/4Y/ATM,0.00687,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/5Y/ATM,0.0068,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/6Y/ATM,0.00673,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/7Y/ATM,0.00666,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/8Y/ATM,0.0066,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/10Y/9Y/ATM,0.00655,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/10Y/ATM,0.00587,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/15Y/ATM,0.00559,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/1Y/ATM,0.00643,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/20Y/ATM,0.00541,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/25Y/ATM,0.00531,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/2Y/ATM,0.00626,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/30Y/ATM,0.00527,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/3Y/ATM,0.0062,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/4Y/ATM,0.00617,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/5Y/ATM,0.00612,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/6Y/ATM,0.00606,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/15Y/7Y/ATM,0.00601,,
