VOLATILITY,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
Yield Forward,FA Implied Absolute Vol,FA Invalid Market Price,USD,,1,1,Default,Linear Volatility,1,1,Black & Scholes - Normal,Hermite,IR Vol,Absolute,Rel Frw,USD-SWTN-SOFR,Benchmark,Absolute,USD/R/IRS/SO1D/BP-VOL/10Y/10Y/ATM,0.00645,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/15Y/ATM,0.00616,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/1Y/ATM,0.00708,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/20Y/ATM,0.00591,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/25Y/ATM,0.00578,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/2Y/ATM,0.00698,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/30Y/ATM,0.00573,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/3Y/ATM,0.00689,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/4Y/ATM,0.00683,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/5Y/ATM,0.00676,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/6Y/ATM,0.00669,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/7Y/ATM,0.00662,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/8Y/ATM,0.00656,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/10Y/9Y/ATM,0.0065,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/15Y/10Y/ATM,0.00583,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/15Y/15Y/ATM,0.00556,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/15Y/1Y/ATM,0.00647,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/15Y/20Y/ATM,0.00537,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/15Y/25Y/ATM,0.00528,,
