YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVELINK,,/YIELDCURVELINK,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,MULTI_CURVE_OWNER_TYPE,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,MEMBER_YC_SEQNBR.YIELD_CURVE_NAME,OWNER_TYPE,,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,AUD,,AUD-AONIA,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Simultaneous,AUD/BBSW/6M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,AUD-6M,Benchmark,AUD-3M,Multi-Curve,,AUD/BBSW/6M,0.001349548,,Up,End Date,AUD/IRS/BB6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/4Y,0.015694698,,Up,End Date,AUD/IRS/BB6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/5Y,0.016897866,,Up,End Date,AUD/IRS/BB6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/6Y,0.017904146,,Up,End Date,AUD/IRS/BB6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/7Y,0.018762908,,Up,End Date,AUD/IRS/BB6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/8Y,0.019457898,,Up,End Date,AUD/IRS/BB6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/9Y,0.019986189,,Up,End Date,AUD/IRS/BB6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/10Y,0.020413026,,Up,End Date,AUD/IRS/BB6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/12Y,0.021199636,,Up,End Date,AUD/IRS/BB6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/15Y,0.021973789,,Up,End Date,AUD/IRS/BB6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/20Y,0.022020371,,Up,End Date,AUD/IRS/BB6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/25Y,0.021279957,,Up,End Date,AUD/IRS/BB6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/30Y,0.02024408,,Up,End Date,AUD/BBSW/6M,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/1Y,0.003499466,,Down,End Date,AUD/IRS/BB3M-BB6M/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/2Y,0.0100098,,Down,End Date,AUD/IRS/BB3M-BB6M/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-BB6M/3Y,0.013638175,,Down,End Date,AUD/IRS/BB3M-BB6M/1Y,No,,
