YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,AUD,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,RBACOR,AUD/RBA/ON,Interest Rate,Spot Rate,Act/365,Continuous,60,1,AUD-AONIA,Benchmark,RBACOR,AUD/RBA/ON,0.000399999342463,,Up,End Date,RBACOR,AUD/RBA/ON,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/1W,0.000410498646719,,Up,End Date,,AUD/IRS/RB1D-F/1Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/1M,0.000413629869698,,Up,End Date,,AUD/IRS/RB1D-F/9M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/2M,0.000414303964956,,Up,End Date,,AUD/IRS/RB1D-F/6M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/3M,0.000448379798644,,Up,End Date,,AUD/IRS/RB1D-F/5M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/4M,0.00052190700542,,Up,End Date,,AUD/IRS/RB1D-F/4M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/5M,0.000571523849623,,Up,End Date,,AUD/IRS/RB1D-F/3M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/6M,0.00071960082897,,Up,End Date,,AUD/IRS/RB1D-F/2M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/9M,0.00141310807801,,Up,End Date,,AUD/IRS/RB1D-F/1M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/1Y,0.00256635254252,,Up,End Date,,AUD/IRS/RB1D-F/1W,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/4Y,0.0133025503925,,Up,End Date,,AUD/IRS/RB1D-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/3Y,0.0115123819112,,Up,End Date,,AUD/IRS/RB1D-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/18M,0.00546412430308,,Up,End Date,,AUD/IRS/RB1D-F/18M,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/2Y,0.00835672841155,,Up,End Date,,AUD/IRS/RB1D-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/9Y,0.0168762189068,,Up,End Date,,AUD/IRS/RB1D-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/8Y,0.0163932855222,,Up,End Date,,AUD/IRS/RB1D-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/7Y,0.0158840393262,,Up,End Date,,AUD/IRS/RB1D-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/6Y,0.0150878260975,,Up,End Date,,AUD/IRS/RB1D-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/5Y,0.0143091362988,,Up,End Date,,AUD/IRS/RB1D-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/30Y,0.0161376557043,,Up,End Date,,AUD/IRS/RB1D-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/25Y,0.0173818450163,,Up,End Date,,AUD/IRS/RB1D-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/20Y,0.0183933879704,,Up,End Date,,AUD/IRS/RB1D-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/15Y,0.0186138351734,,Up,End Date,,AUD/IRS/RB1D-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/12Y,0.0180709093454,,Up,End Date,,AUD/IRS/RB1D-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,AUD/IRS/RB1D-F/10Y,0.0173968466875,,Up,End Date,,AUD/IRS/RB1D-F/10Y,No,,
