YIELDCURVE,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CONFLICT_INTERVAL,CONFLICT_INTERVAL2,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,405,5,AUD,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Continuous,60,1,AUD-SWAP,Benchmark,BBSW3M,AUD/BBSW/3M,0.00049096895931,,Up,End Date,,AUD/IRS/BB3M-F/3Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-F/2Y,0.00943095669192,,Up,End Date,,AUD/IRS/BB3M-F/2Y,-1,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB3M-F/3Y,0.0130333392916,,Up,End Date,BBSW3M,AUD/BBSW/3M,,No,,
,,,,,,,,,,,,,,,,,,,,BBSW1M,AUD/BBSW/1M,4.99998869863E-05,,Up,End Date,BBSW2M,AUD/BBSW/2M,,No,,
,,,,,,,,,,,,,,,,,,,,BBSW2M,AUD/BBSW/2M,0.000199996602817,,Up,End Date,BBSW1M,AUD/BBSW/1M,,No,,
,,,,,,,,,,,,,,,,,,,,RBACOR,AUD/RBA/ON,0.000399999342464,,Up,End Date,RBACOR,AUD/RBA/ON,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/9Y,0.0200374801928,,Up,End Date,,AUD/IRS/BB6M-F/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/8Y,0.0195059446484,,Up,End Date,,AUD/IRS/BB6M-F/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/7Y,0.0188068025434,,Up,End Date,,AUD/IRS/BB6M-F/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/6Y,0.0179440531857,,Up,End Date,,AUD/IRS/BB6M-F/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/5Y,0.0169341467407,,Up,End Date,,AUD/IRS/BB6M-F/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/4Y,0.0157301517435,,Up,End Date,,AUD/IRS/BB6M-F/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/40Y,0.0175976435779,,Up,End Date,,AUD/IRS/BB6M-F/40Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/30Y,0.0201824203354,,Up,End Date,,AUD/IRS/BB6M-F/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/25Y,0.0212877898858,,Up,End Date,,AUD/IRS/BB6M-F/25Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/20Y,0.0220729703686,,Up,End Date,,AUD/IRS/BB6M-F/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/15Y,0.0220413774654,,Up,End Date,,AUD/IRS/BB6M-F/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/12Y,0.0212594288527,,Up,End Date,,AUD/IRS/BB6M-F/12Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRS/BB6M-F/10Y,0.0204665856597,,Up,End Date,,AUD/IRS/BB6M-F/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRF/Z22,0.00463454374952,,Up,Curve Sens,,AUD/IRF/Z22,1,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRF/Z21,0.000461591511467,,Up,Curve Sens,,AUD/IRF/Z21,1,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRF/U22,0.0031065706393,,Up,Curve Sens,,AUD/IRF/U22,1,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRF/M22,0.00174941002633,,Up,Curve Sens,,AUD/IRF/M22,1,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRF/H23,0.00637835290809,,Up,Curve Sens,,AUD/IRF/H23,1,No,,
,,,,,,,,,,,,,,,,,,,,,AUD/IRF/H22,0.000846850060498,,Up,Curve Sens,,AUD/IRF/H22,1,No,,
