YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CONFLICT_INTERVAL,CONFLICT_INTERVAL2,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,405,5,CAD,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,CDOR03,CAD/CDOR/3M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,CAD-3M,Benchmark,CDOR03,CAD/CDOR/3M,0.0048719423278,,Up,End Date,CDOR03,CAD/CDOR/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/2Y,0.0146250178428,,Up,End Date,,CAD/IRS/CD3M-F/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/3Y,0.0170652890179,,Up,End Date,,CAD/IRS/CD3M-F/25Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/4Y,0.0181245461097,,Up,End Date,,CAD/IRS/CD3M-F/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/5Y,0.0184858873901,,Up,End Date,,CAD/IRS/CD3M-F/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/6Y,0.0188711574031,,Up,End Date,,CAD/IRS/CD3M-F/12Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/7Y,0.0192474685321,,Up,End Date,,CAD/IRS/CD3M-F/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/8Y,0.0196581810356,,Up,End Date,,CAD/IRS/CD3M-F/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/9Y,0.0200760168702,,Up,End Date,,CAD/IRS/CD3M-F/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/10Y,0.0204609930761,,Up,End Date,,CAD/IRS/CD3M-F/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/12Y,0.0211793601781,,Up,End Date,,CAD/IRS/CD3M-F/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/15Y,0.0219347621692,,Up,End Date,,CAD/IRS/CD3M-F/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/20Y,0.022709658492,,Up,End Date,,CAD/IRS/CD3M-F/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/25Y,0.0224292820502,,Up,End Date,,CAD/IRS/CD3M-F/3Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/30Y,0.0218202328727,,Up,End Date,,CAD/IRS/CD3M-F/2Y,-1,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAZ22,0.0116820399156,,Up,Curve Sens,,CAD/IRF/BAZ22,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAZ21,0.00494704015568,,Up,Curve Sens,,CAD/IRF/BAZ21,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAU22,0.0102330438667,,Up,Curve Sens,,CAD/IRF/BAU22,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAM22,0.0084136517968,,Up,Curve Sens,,CAD/IRF/BAM22,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAH23,0.0128694825396,,Up,Curve Sens,,CAD/IRF/BAH23,1,No,,
,,,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAH22,0.00643950896911,,Up,Curve Sens,,CAD/IRF/BAH22,1,No,,
