YIELDCURVE,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CONFLICT_INTERVAL,CONFLICT_INTERVAL2,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,405,5,CAD,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Continuous,60,1,CAD-SWAP,Benchmark,CDOR03,CAD/CDOR/3M,0.0048719423278,,Up,End Date,CDOR03,CAD/CDOR/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/2Y,0.0146300967987,,Up,End Date,,CAD/IRS/CD3M-F/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/3Y,0.0170764524739,,Up,End Date,,CAD/IRS/CD3M-F/25Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/4Y,0.0181378365314,,Up,End Date,,CAD/IRS/CD3M-F/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/5Y,0.0184989340621,,Up,End Date,,CAD/IRS/CD3M-F/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/6Y,0.0188853731228,,Up,End Date,,CAD/IRS/CD3M-F/12Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/7Y,0.0192633919278,,Up,End Date,,CAD/IRS/CD3M-F/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/8Y,0.0196767665695,,Up,End Date,,CAD/IRS/CD3M-F/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/9Y,0.0200979534686,,Up,End Date,,CAD/IRS/CD3M-F/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/10Y,0.0204863593481,,Up,End Date,,CAD/IRS/CD3M-F/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/12Y,0.0212122748761,,Up,End Date,,CAD/IRS/CD3M-F/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/15Y,0.0219764856845,,Up,End Date,,CAD/IRS/CD3M-F/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/20Y,0.0227614395152,,Up,End Date,,CAD/IRS/CD3M-F/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/25Y,0.0224627000274,,Up,End Date,,CAD/IRS/CD3M-F/3Y,,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRS/CD3M-F/30Y,0.0218236879989,,Up,End Date,,CAD/IRS/CD3M-F/2Y,-1,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAZ22,0.0116442994447,,Up,Curve Sens,,CAD/IRF/BAZ22,1,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAZ21,0.00478809454351,,Up,Curve Sens,,CAD/IRF/BAZ21,1,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAU22,0.0101864518935,,Up,Curve Sens,,CAD/IRF/BAU22,1,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAM22,0.00835344707128,,Up,Curve Sens,,CAD/IRF/BAM22,1,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAH23,0.0128376467474,,Up,Curve Sens,,CAD/IRF/BAH23,1,No,,
,,,,,,,,,,,,,,,,,,,,,CAD/IRF/BAH22,0.00635367833853,,Up,Curve Sens,,CAD/IRF/BAH22,1,No,,
,,,,,,,,,,,,,,,,,,,,CDOR02,CAD/CDOR/2M,0.00457325189357,,Up,End Date,CDOR02,CAD/CDOR/2M,,No,,
,,,,,,,,,,,,,,,,,,,,CDOR01,CAD/CDOR/1M,0.00437413496697,,Up,End Date,CDOR01,CAD/CDOR/1M,,No,,
,,,,,,,,,,,,,,,,,,,,CCLR,CAD/CCLR,0.00249997431542,,Up,End Date,CCLR,CAD/CCLR,,No,,
