YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,DISC_TYPE_CHLNBR.ENTRY,DISC_TYPE_CHLNBR.LIST,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UNDERLYING_YIELD_CURVE,UNDERLYING_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,INTERPOLATION_TYPE,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Default,CHF,,CHF-FX,COLL-USD,DiscType,Boot Strap,Default,Flat,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/360,Continuous,CHF-SARON,CHF-SARON,60,1,CHF-COLL-USD,Spread,USD-CHF/FXS/ON,Linear RT,0.003224943,,Up,End Date,USD-CHF/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/TN,Linear RT,0.002115407,,Up,End Date,USD-CHF/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/SN,Linear RT,0.001750175,,Up,End Date,USD-CHF/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/1W,Linear RT,5.49E-05,,Up,End Date,USD-CHF/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/2W,Linear RT,-0.000421374,,Up,End Date,USD-CHF/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/3W,Linear RT,-0.000705053,,Up,End Date,USD-CHF/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/1M,Linear RT,-0.001121959,,Up,End Date,USD-CHF/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/2M,Linear RT,-0.004682994,,Up,End Date,USD-CHF/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/3M,Linear RT,-0.003875155,,Up,End Date,USD-CHF/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/4M,Linear RT,-0.003250006,,Up,End Date,USD-CHF/FXS/2M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/5M,Linear RT,-0.002880344,,Up,End Date,USD-CHF/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/6M,Linear RT,-0.002916705,,Up,End Date,USD-CHF/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/7M,Linear RT,-0.002804559,,Up,End Date,USD-CHF/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/8M,Linear RT,-0.002592022,,Up,End Date,USD-CHF/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/9M,Linear RT,-0.002683507,,Up,End Date,USD-CHF/FXS/SN,,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/10M,Linear RT,-0.0026664,,Up,End Date,USD-CHF/FXS/TN,1,No,,
,,,,,,,,,,,,,,,,,,,,,,USD-CHF/FXS/11M,Linear RT,-0.002673822,,Up,End Date,USD-CHF/FXS/ON,2,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/1Y,,-0.002586323,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/30Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/2Y,,-0.002754423,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/20Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/3Y,,-0.002923637,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/15Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/4Y,,-0.00317488,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/10Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/5Y,,-0.003412043,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/9Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/6Y,,-0.003685312,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/8Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/7Y,,-0.003908924,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/7Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/8Y,,-0.004157012,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/6Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/9Y,,-0.0044051,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/5Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/10Y,,-0.004653006,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/4Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/15Y,,-0.005618593,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/3Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/20Y,,-0.006162215,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/2Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/30Y,,-0.006151895,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/1Y,,No,,
,,,,,,,,,,,,,,,,,,,,,,CHF-USD/CCS/SA1D-SO1D/25Y,,-0.006099772,,Up,End Date,CHF-USD/CCS/SA1D-SO1D/25Y,,No,,
