YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,CHF,,Boot Strap,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,SRFXON3,CHF/SARON,Interest Rate,Spot Rate,Act/360,Continuous,60,1,CHF-SARON,Benchmark,SRFXON3,CHF/SARON,-0.0071119607458,,Up,End Date,,CHF/IRS/SA1D-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/1W,-0.00714529162415,,Up,End Date,,CHF/IRS/SA1D-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/2W,-0.00717629196474,,Up,End Date,,CHF/IRS/SA1D-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/3W,-0.00722159503548,,Up,End Date,,CHF/IRS/SA1D-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/1M,-0.00724495839928,,Up,End Date,,CHF/IRS/SA1D-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/2M,-0.00737556297926,,Up,End Date,,CHF/IRS/SA1D-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/3M,-0.00745052624878,,Up,End Date,,CHF/IRS/SA1D-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/4M,-0.00747719054364,,Up,End Date,,CHF/IRS/SA1D-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/5M,-0.00748252299869,,Up,End Date,,CHF/IRS/SA1D-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/6M,-0.00750873563389,,Up,End Date,,CHF/IRS/SA1D-F/21M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/7M,-0.00748606121614,,Up,End Date,,CHF/IRS/SA1D-F/18M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/8M,-0.00748961996452,,Up,End Date,,CHF/IRS/SA1D-F/15M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/9M,-0.00746552702174,,Up,End Date,,CHF/IRS/SA1D-F/12M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/10M,-0.00741744674038,,Up,End Date,,CHF/IRS/SA1D-F/11M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/11M,-0.00737205181845,,Up,End Date,,CHF/IRS/SA1D-F/10M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/12M,-0.0073755455779,,Up,End Date,,CHF/IRS/SA1D-F/9M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/15M,-0.00724230057249,,Up,End Date,,CHF/IRS/SA1D-F/8M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/18M,-0.00696641662033,,Up,End Date,,CHF/IRS/SA1D-F/7M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/21M,-0.00669277861743,,Up,End Date,,CHF/IRS/SA1D-F/6M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/2Y,-0.00637012444934,,Up,End Date,,CHF/IRS/SA1D-F/5M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/3Y,-0.00529621996472,,Up,End Date,,CHF/IRS/SA1D-F/4M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/4Y,-0.00439569290907,,Up,End Date,,CHF/IRS/SA1D-F/3M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/5Y,-0.00351988404099,,Up,End Date,,CHF/IRS/SA1D-F/2M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/6Y,-0.00266845862264,,Up,End Date,,CHF/IRS/SA1D-F/1M,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/7Y,-0.00186582103496,,Up,End Date,,CHF/IRS/SA1D-F/3W,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/8Y,-0.00113700821182,,Up,End Date,,CHF/IRS/SA1D-F/2W,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/9Y,-0.000532564895205,,Up,End Date,,CHF/IRS/SA1D-F/1W,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/10Y,-5.2892586099E-05,,Up,End Date,SRFXON3,CHF/SARON,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/12Y,0.000681148424354,,Up,End Date,,CHF/IRS/SA1D-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/15Y,0.00136635694639,,Up,End Date,,CHF/IRS/SA1D-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/20Y,0.00164211447543,,Up,End Date,,CHF/IRS/SA1D-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/25Y,0.00122888610347,,Up,End Date,,CHF/IRS/SA1D-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/30Y,0.000445651939792,,Up,End Date,,CHF/IRS/SA1D-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/50Y,-0.00104767532553,,Up,End Date,,CHF/IRS/SA1D-F/50Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/45Y,-0.00071081570981,,Up,End Date,,CHF/IRS/SA1D-F/45Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/40Y,-0.000345796504838,,Up,End Date,,CHF/IRS/SA1D-F/40Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/35Y,4.79938288982E-05,,Up,End Date,,CHF/IRS/SA1D-F/35Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/14Y,0.00118868229782,,Up,End Date,,CHF/IRS/SA1D-F/14Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/13Y,0.000960212398814,,Up,End Date,,CHF/IRS/SA1D-F/13Y,No,,
,,,,,,,,,,,,,,,,,,,,CHF/IRS/SA1D-F/11Y,0.000351815363649,,Up,End Date,,CHF/IRS/SA1D-F/11Y,No,,
