YIELDCURVE,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,CHF,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/360,Continuous,60,1,CHF-SWAP,Benchmark,SF0006M,CHF/LIBOR/6M,-0.00734522426619,,Up,End Date,,CHF/IRS/LI6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/1Y,-0.00694352448563,,Up,End Date,,CHF/IRS/LI6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/2Y,-0.00572029892699,,Up,End Date,,CHF/IRS/LI6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/3Y,-0.00459039766337,,Up,End Date,,CHF/IRS/LI6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/4Y,-0.00367315654177,,Up,End Date,,CHF/IRS/LI6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/5Y,-0.0028092101699,,Up,End Date,,CHF/IRS/LI6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/6Y,-0.00195906160635,,Up,End Date,,CHF/IRS/LI6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/7Y,-0.00112183574522,,Up,End Date,,CHF/IRS/LI6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/8Y,-0.000397207085662,,Up,End Date,,CHF/IRS/LI6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/9Y,0.000205053182419,,Up,End Date,,CHF/IRS/LI6M-F/1Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/10Y,0.000694072345877,,Up,End Date,SF0006M,CHF/LIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,SF00S/N,CHF/LIBOR/SN,-0.00748876916866,,Up,End Date,SF0003M,CHF/LIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,SF0001W,CHF/LIBOR/1W,-0.00792385017619,,Up,End Date,SF0002M,CHF/LIBOR/2M,No,,
,,,,,,,,,,,,,,,,,,SF0001M,CHF/LIBOR/1M,-0.00792356927264,,Up,End Date,SF0001M,CHF/LIBOR/1M,No,,
,,,,,,,,,,,,,,,,,,SF0002M,CHF/LIBOR/2M,-0.00785705420203,,Up,End Date,SF0001W,CHF/LIBOR/1W,No,,
,,,,,,,,,,,,,,,,,,SF0003M,CHF/LIBOR/3M,-0.00781791527165,,Up,End Date,SF00S/N,CHF/LIBOR/SN,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/12Y,0.00147964031044,,Up,End Date,,CHF/IRS/LI6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/15Y,0.00213658633305,,Up,End Date,,CHF/IRS/LI6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/20Y,0.00241848780176,,Up,End Date,,CHF/IRS/LI6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/25Y,0.00202731035356,,Up,End Date,,CHF/IRS/LI6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,CHF/IRS/LI6M-F/30Y,0.00130175553638,,Up,End Date,,CHF/IRS/LI6M-F/12Y,No,,
