YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,EUR,,EUR-6M,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,EUR001M,EUR/EURIBOR/1M,Interest Rate,Spot Rate,Act/360,Continuous,60,1,EUR-1M,Benchmark,EUR001M,EUR/EURIBOR/1M,-0.005673375,,Down,End Date,EUR/IRS/EU6M-EU1M/50Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/1Y,-0.005309858,,Down,End Date,EUR/IRS/EU6M-EU1M/40Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/2Y,-0.004380005,,Down,End Date,EUR/IRS/EU6M-EU1M/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/3Y,-0.003503845,,Down,End Date,EUR/IRS/EU6M-EU1M/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/4Y,-0.002834079,,Down,End Date,EUR/IRS/EU6M-EU1M/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/5Y,-0.002291851,,Down,End Date,EUR/IRS/EU6M-EU1M/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/6Y,-0.001730113,,Down,End Date,EUR/IRS/EU6M-EU1M/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/7Y,-0.001152858,,Down,End Date,EUR/IRS/EU6M-EU1M/11Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/8Y,-0.000541034,,Down,End Date,EUR/IRS/EU6M-EU1M/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/9Y,0.000111505,,Down,End Date,EUR/IRS/EU6M-EU1M/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/10Y,0.000716341,,Down,End Date,EUR/IRS/EU6M-EU1M/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/11Y,0.001288002,,Down,End Date,EUR/IRS/EU6M-EU1M/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/12Y,0.001806869,,Down,End Date,EUR/IRS/EU6M-EU1M/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/15Y,0.002904959,,Down,End Date,EUR/IRS/EU6M-EU1M/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/20Y,0.003567604,,Down,End Date,EUR/IRS/EU6M-EU1M/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/25Y,0.003443622,,Down,End Date,EUR/IRS/EU6M-EU1M/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/30Y,0.003023979,,Down,End Date,EUR/IRS/EU6M-EU1M/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/40Y,0.002336144,,Up,End Date,EUR/IRS/EU1M-F/1Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-EU1M/50Y,0.001833876,,Up,End Date,EUR/EURIBOR/1M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/2M,-0.005664375,,Up,End Date,EUR/IRS/EU1M-F/11M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/3M,-0.005684287,,Up,End Date,EUR/IRS/EU1M-F/10M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/4M,-0.005724444,,Up,End Date,EUR/IRS/EU1M-F/9M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/5M,-0.005579634,,Up,End Date,EUR/IRS/EU1M-F/8M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/6M,-0.005551619,,Up,End Date,EUR/IRS/EU1M-F/7M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/7M,-0.005545007,,Up,End Date,EUR/IRS/EU1M-F/6M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/8M,-0.005506495,,Up,End Date,EUR/IRS/EU1M-F/5M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/9M,-0.005467916,,Up,End Date,EUR/IRS/EU1M-F/4M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/10M,-0.005434252,,Up,End Date,EUR/IRS/EU1M-F/3M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU1M-F/11M,-0.005388182,,Up,End Date,EUR/IRS/EU1M-F/2M,No,,
