YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,EUR,,EUR-ESTR,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,EUR006M,EUR/EURIBOR/6M,Interest Rate,Spot Rate,Act/360,Continuous,60,1,EUR-6M,Benchmark,EUR006M,EUR/EURIBOR/6M,-0.00538104043383,,Up,End Date,,EUR/IRS/EU6M-F/50Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/1X7,-0.00531204639354,,Up,End Date,,EUR/IRS/EU6M-F/40Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/2X8,-0.00522050691326,,Up,End Date,,EUR/IRS/EU6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/3X9,-0.00515600921812,,Up,End Date,,EUR/IRS/EU6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/4X10,-0.00508312011718,,Up,End Date,,EUR/IRS/EU6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/5X11,-0.00503405718873,,Up,End Date,,EUR/IRS/EU6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/6X12,-0.00498642466799,,Up,End Date,,EUR/IRS/EU6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/9X15,-0.0047491590189,,Up,End Date,,EUR/IRS/EU6M-F/11Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/12X18,-0.00444351249571,,Up,End Date,,EUR/IRS/EU6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/2Y,-0.00382876985444,,Up,End Date,,EUR/IRS/EU6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/3Y,-0.00282529862769,,Up,End Date,,EUR/IRS/EU6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/4Y,-0.0020960244127,,Up,End Date,,EUR/IRS/EU6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/5Y,-0.00153385240414,,Up,End Date,,EUR/IRS/EU6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/6Y,-0.00098187799704,,Up,End Date,,EUR/IRS/EU6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/7Y,-0.000434449722851,,Up,End Date,,EUR/IRS/EU6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/8Y,0.000137809034996,,Up,End Date,,EUR/IRS/EU6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/9Y,0.000721130496397,,Up,End Date,,EUR/IRS/EU6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/10Y,0.00125660470398,,Up,End Date,,EUR/FRA/EU6M/12X18,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/11Y,0.00175861458268,,Up,End Date,,EUR/FRA/EU6M/9X15,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/12Y,0.00219768125017,,Up,End Date,,EUR/FRA/EU6M/6X12,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/15Y,0.00311532682993,,Up,End Date,,EUR/FRA/EU6M/5X11,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/20Y,0.00358643481151,,Up,End Date,,EUR/FRA/EU6M/4X10,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/25Y,0.00333191605136,,Up,End Date,,EUR/FRA/EU6M/3X9,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/30Y,0.00282297304596,,Up,End Date,,EUR/FRA/EU6M/2X8,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/40Y,0.00200831666566,,Up,End Date,,EUR/FRA/EU6M/1X7,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/IRS/EU6M-F/50Y,0.00141945933723,,Up,End Date,EUR006M,EUR/EURIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,,,,EUR/FRA/EU6M/7X13,-0.00490519316095,,Up,End Date,,EUR/FRA/EU6M/11X17,No,,
