CONTEXTLINK,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,INSADDR.INSID,GROUP_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,CURR.INSID,DISC_TYPE_CHLNBR.LIST,DISC_TYPE_CHLNBR.ENTRY,MAPPING_TYPE,NAME,TYPE,
Global,,ValGroup,RateIndex,EUR,,,Val Group,EUR-SWAP,Yield Curve,
Global,,,,EUR,DiscType,IBOR,Instrument,EUR-SWAP,Yield Curve,
Global,EUR/EURIBOR/12M,,,EUR,,,Instrument,EUR-12M,Yield Curve,
Global,EUR/EURIBOR/1M,,,EUR,,,Instrument,EUR-1M,Yield Curve,
Global,EUR/EONIA,,,EUR,,,Instrument,EUR-EONIA,Yield Curve,
Global,EUR/EURIBOR/6M,,,EUR,,,Instrument,EUR-6M,Yield Curve,
Global,EUR/EURIBOR/3M,,,EUR,,,Instrument,EUR-3M,Yield Curve,
Global,,,,EUR,,,Instrument,EUR-ESTR,Yield Curve,
Global,EUR/ESTR,,,EUR,,,Instrument,EUR-ESTR,Yield Curve,
Global,USD,,,EUR,,,Instrument,EUR-FX,Yield Curve,
Global,,,,EUR,DiscType,FX,Instrument,EUR-FX,Yield Curve,
Global,,,,EUR,DiscType,COLL-USD,Instrument,EUR-COLL-USD,Yield Curve,
Global,,ValGroup,CCS-Basis,EUR,,,Val Group,EUR-COLL-USD,Yield Curve,
Global,USD,,,EUR,DiscType,COLL-USD,Instrument,EUR-COLL-USD,Yield Curve,
Global,,ValGroup,SynthBenchResetEst,,,,Val Group,Current Rate,Reset Estimation Method,
