YIELDCURVE,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,GBP,,GBP-6M,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,GBP/LIBOR/3M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,GBP-3M,Benchmark,GBP/LIBOR/3M,0.001023665,,Up,End Date,GBP/LIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/2Y,0.009159122,,Down,End Date,GBP/IRS/LI3M-LI6M/60Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/3Y,0.01031318,,Down,End Date,GBP/IRS/LI3M-LI6M/50Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/4Y,0.010443975,,Down,End Date,GBP/IRS/LI3M-LI6M/40Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/5Y,0.01026599,,Down,End Date,GBP/IRS/LI3M-LI6M/30Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/6Y,0.010122212,,Down,End Date,GBP/IRS/LI3M-LI6M/20Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/7Y,0.009883979,,Down,End Date,GBP/IRS/LI3M-LI6M/15Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/8Y,0.009710655,,Down,End Date,GBP/IRS/LI3M-LI6M/12Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/9Y,0.009552742,,Down,End Date,GBP/IRS/LI3M-LI6M/10Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/10Y,0.00942467,,Down,End Date,GBP/IRS/LI3M-LI6M/9Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/12Y,0.009250822,,Down,End Date,GBP/IRS/LI3M-LI6M/8Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/15Y,0.008974958,,Down,End Date,GBP/IRS/LI3M-LI6M/7Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/20Y,0.008526421,,Down,End Date,GBP/IRS/LI3M-LI6M/6Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/30Y,0.007771612,,Down,End Date,GBP/IRS/LI3M-LI6M/5Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/40Y,0.006695769,,Down,End Date,GBP/IRS/LI3M-LI6M/4Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/50Y,0.00578155,,Down,End Date,GBP/IRS/LI3M-LI6M/3Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/60Y,0.005187072,,Down,End Date,GBP/IRS/LI3M-LI6M/2Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/IRS/LI3M-LI6M/25Y,0.008137227,,Down,End Date,GBP/IRS/LI3M-LI6M/25Y,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/1X4,0.001667306,,Up,End Date,GBP/FRA/LI3M/9X12,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/2X5,0.002848385,,Up,End Date,GBP/FRA/LI3M/6X9,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/3X6,0.003082723,,Up,End Date,GBP/FRA/LI3M/5X8,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/4X7,0.003606357,,Up,End Date,GBP/FRA/LI3M/4X7,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/5X8,0.004456034,,Up,End Date,GBP/FRA/LI3M/3X6,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/6X9,0.004767381,,Up,End Date,GBP/FRA/LI3M/2X5,No,,
,,,,,,,,,,,,,,,,,,,,GBP/FRA/LI3M/9X12,0.006186071,,Up,End Date,GBP/FRA/LI3M/1X4,No,,
