YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,GBP,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear RT,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/365,Continuous,60,1,GBP-FX,Benchmark,GBP-USD/FXS/ON,0.000506943,,Down,End Date,GBP-USD/FXS/10Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/TN,0.000501052,,Down,End Date,GBP-USD/FXS/9Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/SN,0.000503421,,Down,End Date,GBP-USD/FXS/8Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/1W,0.000485737,,Down,End Date,GBP-USD/FXS/7Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/2W,0.000460322,,Down,End Date,GBP-USD/FXS/6Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/3W,0.00048509,,Down,End Date,GBP-USD/FXS/5Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/1M,0.000436445,,Down,End Date,GBP-USD/FXS/4Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/2M,-0.003683517,,Down,End Date,GBP-USD/FXS/3Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/3M,-0.001941087,,Down,End Date,GBP-USD/FXS/2Y,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/4M,-0.000817469,,Down,End Date,GBP-USD/FXS/21M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/5M,-0.000171356,,Down,End Date,GBP-USD/FXS/18M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/6M,0.000654063,,Down,End Date,GBP-USD/FXS/15M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/7M,0.001283537,,Down,End Date,GBP-USD/FXS/12M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/8M,0.001881703,,Down,End Date,GBP-USD/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/9M,0.002480355,,Down,End Date,GBP-USD/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/10M,0.002968115,,Down,End Date,GBP-USD/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/11M,0.003311804,,Down,End Date,GBP-USD/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/12M,0.003885639,,Down,End Date,GBP-USD/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/15M,0.004836851,,Down,End Date,GBP-USD/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/18M,0.005753555,,Down,End Date,GBP-USD/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/21M,0.006442904,,Down,End Date,GBP-USD/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/2Y,0.007086527,,Down,End Date,GBP-USD/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/3Y,0.008172818,,Down,End Date,GBP-USD/FXS/2M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/4Y,0.00804925,,Down,End Date,GBP-USD/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/5Y,0.007995352,,Down,End Date,GBP-USD/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/6Y,0.007766631,,Down,End Date,GBP-USD/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/7Y,0.007768678,,Down,End Date,GBP-USD/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/8Y,0.007418077,,Down,End Date,GBP-USD/FXS/SN,,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/9Y,0.007285661,,Down,End Date,GBP-USD/FXS/TN,1,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/10Y,0.007255207,,Down,End Date,GBP-USD/FXS/ON,2,No,,
,,,,,,,,,,,,,,,,,,,GBP-USD/FXS/30M,0.007790044,,Down,End Date,GBP-USD/FXS/30M,,No,,
